,stop_name,Ward_name
92,BLOOR ST WEST AT ISLINGTON AVE,Etobicoke-Lakeshore
93,BLOOR ST WEST AT JANE ST,Parkdale-High Park
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Don Valley West
95,BROADVIEW AVE AT ERINDALE AVE,Toronto-Danforth
96,CHURCH ST AT UPHILL AVE,York South-Weston
97,CORDOVA AVE AT DUNDAS ST WEST,Etobicoke-Lakeshore
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),Toronto-Danforth
99,COXWELL AVE AT PLAINS RD,Toronto-Danforth
100,3450 DANFORTH AVE,Scarborough Southwest
101,DANFORTH AVE AT MAIN ST,Beaches-East York
102,KEELE ST AT KEELEGATE DR,York Centre
103,KEELE ST AT ST CLAIR AVE WEST,York South-Weston
104,KEELE ST AT ST CLAIR AVE WEST,York South-Weston
105,KEELE ST AT TORO RD,Humber River-Black Creek
106,KEELE ST AT WILSON AVE NORTH SIDE,York Centre
107,WILSON AVE AT KEELE ST NORTH SIDE,York Centre
108,KENNEDY RD AT PROGRESS AVE,Scarborough Centre
109,KING ST WEST AT SHAW ST EAST SIDE,Spadina-Fort York
110,KING ST WEST AT STRACHAN AVE,Spadina-Fort York
111,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Etobicoke North
112,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,Etobicoke-Lakeshore
113,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,Davenport
114,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,Davenport
115,LANSDOWNE AVE AT ST CLAIR AVE WEST,Davenport
116,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,Scarborough-Rouge Park
117,LAWRENCE AVE EAST AT ORTON PARK RD,Scarborough-Guildwood
118,LAWRENCE AVE WEST AT CULFORD RD,York South-Weston
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,Etobicoke Centre
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,Eglinton-Lawrence
121,LAWRENCE AVE WEST AT WESTON RD,York South-Weston
122,LAWRENCE PLAZA AT CANADA TRUST,Eglinton-Lawrence
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,Eglinton-Lawrence
124,LESLIE ST AT EASTERN AVE,Toronto-Danforth
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Don Valley East
126,LESLIE ST AT LAWRENCE AVE EAST,Don Valley East
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,Toronto-Danforth
128,LONSDALE RD AT AVENUE RD EAST SIDE,Toronto-St. Paul's
129,EXHIBITION LOOP AT MANITOBA DR,Spadina-Fort York
130,EXHIBITION LOOP,Spadina-Fort York
131,TORONTO ZOO,Scarborough-Rouge Park
132,TORONTO ZOO,Scarborough-Rouge Park
133,TORONTO ZOO,Scarborough-Rouge Park
134,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,Scarborough-Rouge Park
135,HUMBER LOOP AT THE QUEENSWAY,Etobicoke-Lakeshore
136,HUMBER LOOP AT THE QUEENSWAY,Etobicoke-Lakeshore
137,EARLSCOURT LOOP AT ST CLAIR AVE WEST,Davenport
138,LONG BRANCH LOOP,Etobicoke-Lakeshore
139,QUEENS QUAY LOOP AT LOWER SPADINA AVE,Spadina-Fort York
140,WESTWOOD SQUARE BUS TERMINAL AT MORNING STAR DR,outside_wards
141,LUMSDEN AVE AT WESTLAKE AVE,Beaches-East York
142,PROGRESS AVE AT MARKHAM RD EAST SIDE,Scarborough-Guildwood
143,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,Parkdale-High Park
144,QUEEN ST EAST AT KINGSTON RD,Beaches-East York
145,QUEEN ST EAST AT KINGSTON RD,Beaches-East York
