,stop_name,Ward_name
1510,BAY ST AT GERRARD ST WEST,University-Rosedale
1511,GENTIAN DR AT RENFORTH DR,Etobicoke Centre
1512,STEEPROCK DR AT CHESSWOOD DR EAST SIDE,York Centre
1513,BRIMLEY RD AT BRITWELL AVE,Scarborough Centre
1514,MIDLAND AVE AT ROMULUS DR,Scarborough Centre
1515,WILSON AVE AT CLYDE AVE,Eglinton-Lawrence
1516,PHARMACY AVE AT BEVERLY GLEN BLVD,Scarborough-Agincourt
1517,EGLINTON AVE EAST AT FALCON ST WEST SIDE,Don Valley West
1518,WESTON RD AT FERN AVE,York South-Weston
1519,COLLEGE ST AT OSSINGTON AVE,Davenport
1520,FINCH AVE WEST AT WESTMORE DR,Etobicoke North
1521,AVENUE RD AT DOUGLAS AVE,Eglinton-Lawrence
1522,KING ST WEST AT SUDBURY ST,Spadina-Fort York
1523,MIDDLEFIELD RD AT SELECT AVE,Scarborough North
1524,STAINES RD AT SEASONS DR SOUTH SIDE,Scarborough North
1525,WARDEN AVE AT MANHATTAN DR,Scarborough Centre
1526,MAIN ST AT LYALL AVE NORTH SIDE,Beaches-East York
1527,YONGE ST AT FAIRLAWN AVE,Eglinton-Lawrence
1528,BELLAMY RD NORTH AT BRAEBURN BLVD SOUTH SIDE,Scarborough Centre
1529,BERGAMOT AVE AT REXDALE BLVD NORTH SIDE,Etobicoke North
1530,88 PARK LAWN RD,Etobicoke-Lakeshore
1531,PROGRESS AVE AT BELLAMY RD NORTH EAST SIDE,Scarborough-Guildwood
1532,SHEPPARD AVE EAST AT HAVENVIEW RD,Scarborough North
1533,HORNER AVE AT THIRTIETH ST,Etobicoke-Lakeshore
1534,WILMINGTON AVE AT SHEPPARD AVE WEST NORTH SIDE,York Centre
1535,QUEEN ST WEST AT BAY ST,Toronto Centre
1536,ELLESMERE RD AT BOROUGH APPROACH EAST,Scarborough Centre
1537,LAWSON RD AT CLYDE RD,Scarborough-Rouge Park
1538,DUNDAS ST WEST AT SORAUREN AVE,Parkdale-High Park
1539,SENLAC RD AT FINCH AVE WEST,Willowdale
1540,DANFORTH AVE AT PHARMACY AVE,Scarborough Southwest
1541,WESTON RD AT JANE ST,York South-Weston
1542,DUFFERIN ST AT CASTLEFIELD AVE,Eglinton-Lawrence
1543,SIGNAL HILL AVE AT STEELES AVE WEST,Etobicoke North
1544,BRIMLEY RD AT DANFORTH RD,Scarborough Southwest
1545,FINCH AVE WEST AT ARDWICK BLVD (WEST),Humber River-Black Creek
1546,STEELES AVE WEST AT ADESSO DR,outside_wards
1547,MORNINGSIDE AVE AT MILITARY TRAIL,Scarborough-Rouge Park
1548,YORK MILLS RD AT CEDARWOOD AVE WEST SIDE,Don Valley West
1549,INDUSTRY ST AT BERTAL RD SOUTH SIDE,York South-Weston
1550,SHEPPARD AVE EAST AT YONGE ST EAST SIDE,Willowdale
1551,NORFINCH DR AT FINCH AVE WEST NORTH SIDE,Humber River-Black Creek
1552,ISLINGTON AVE AT BERGAMOT AVE,Etobicoke North
1553,580 RATHBURN RD (SENECA SCHOOL),Etobicoke Centre
1554,DUNDAS ST WEST AT BAY ST,University-Rosedale
1555,MCCOWAN RD AT HORFIELD AVE,Scarborough Southwest
1556,VARSITY RD AT DORAN AVE,Parkdale-High Park
1557,PROGRESS AVE AT ESTATE DR (EAST SIDE),Scarborough-Guildwood
1558,MIDLAND AVE AT SHEPPARD AVE EAST,Scarborough-Agincourt
1559,EASTERN AVE AT MINTO ST (POST OFFICE) EAST SIDE,Toronto-Danforth
1560,GERRARD ST EAST AT RATHMORE AVE WEST SIDE,Scarborough Southwest
1561,BAYVIEW AVE AT BURLEIGH HEIGHTS DR NORTH SIDE,Don Valley North
1562,KEELE ST AT DUNDAS ST WEST,Parkdale-High Park
1563,300 DANFORTH RD,Scarborough Southwest
1564,PHARMACY AVE AT ROSITA CRES NORTH SIDE,Scarborough Southwest
1565,BIRCHMOUNT RD AT KINGSTON RD,Scarborough Southwest
1566,LESLIE ST AT FRANCINE DR SOUTH SIDE,Don Valley North
1567,PHARMACY AVE AT ARNALL AVE,Scarborough-Agincourt
1568,TUSCAN GATE AT SHEPPARD AVE WEST,York Centre
1569,OPPOSITE 950 DIXON RD,Etobicoke North
1570,WESTON RD AT SUNSET TRAIL,Humber River-Black Creek
1571,KIPLING AVE AT HORNER AVE,Etobicoke-Lakeshore
1572,WARDEN AVE AT DANFORTH AVE,Scarborough Southwest
1573,RANEE AVE AT MIKADO AVE,Eglinton-Lawrence
1574,MCCOWAN RD AT HIGHWAY 401,Scarborough North
1575,VICTORIA PARK AVE AT FARM GREENWAY,Don Valley East
1576,MCCOWAN RD AT NUGGET AVE,Scarborough North
1577,FINCH AVE EAST AT LONGMORE ST,Willowdale
1578,SPADINA AVE AT HARBORD ST NORTH SIDE,University-Rosedale
1579,DAWES RD AT GOODWOOD PARK CRT,Beaches-East York
1580,MCCOWAN RD AT HOLLYHEDGE DR (NORTH) SOUTH SIDE,Scarborough Centre
1581,BIRCHMOUNT RD AT VAUXHALL DR,Scarborough Centre
1582,SHEPPARD AVE WEST AT WESTON RD,Humber River-Black Creek
1583,MT PLEASANT RD AT SOUDAN AVE,Toronto-St. Paul's
1584,LESLIE ST AT FRANCINE DR,Don Valley North
1585,FINCH AVE WEST AT MILADY RD,Humber River-Black Creek
1586,STEELES AVE EAST AT STRAWBERRY HILLS DR,Scarborough North
1587,THE WESTWAY AT KIPLING AVE EAST SIDE,Etobicoke Centre
1588,YONGE ST AT SHERWOOD AVE,Don Valley West
1589,FINCH AVE WEST AT WESTON RD WEST SIDE,Humber River-Black Creek
1590,ALBION RD AT BANKFIELD DR SOUTH SIDE,Etobicoke North
1591,WOODBINE AVE AT CASSELS AVE,Beaches-East York
1592,2900 WARDEN AVE (BRIDLEWOOD MALL),Scarborough-Agincourt
1593,THE DONWAY WEST AT DON MILLS RD,Don Valley East
1594,LESLIE ST AT TALWOOD DR (SOUTH) SOUTH SIDE,Don Valley West
1595,THISTLE DOWN BLVD AT KENHILL DR,Etobicoke North
1596,CARRIER DR AT ALBION RD,Etobicoke North
1597,MIDDLEFIELD RD AT RICHMOND PARK BLVD,Scarborough North
1598,TAPSCOTT RD AT WASHBURN WAY,Scarborough North
1599,161 BRIDGELAND AVE,Eglinton-Lawrence
1600,FINCH AVE EAST AT MARKHAM RD,Scarborough North
1601,VICTORIA PARK AVE AT TEMPO AVE,Don Valley North
1602,546 THE WEST MALL,Etobicoke Centre
1603,BRIMLEY RD AT ST CLAIR AVE EAST,Scarborough Southwest
1604,BROADVIEW AVE AT MORTIMER AVE NORTH SIDE,Toronto-Danforth
1605,ROYWOOD DR AT FORTROSE CRES (EAST),Don Valley East
1606,QUEEN ST EAST AT YONGE ST (QUEEN STATION),Toronto Centre
1607,KING ST WEST AT NIAGARA ST,Spadina-Fort York
1608,VICTORIA PARK AVE AT TERRAVIEW BLVD,Scarborough Centre
1609,1685 FINCH AVE WEST (ST WILFREDS SCHOOL),Humber River-Black Creek
1610,BAYVIEW AVE AT POST RD NORTH SIDE,Don Valley West
1611,BERRY RD AT BALLACAINE DR,Etobicoke-Lakeshore
1612,QUEEN ST EAST AT CARLAW AVE,Toronto-Danforth
1613,DANFORTH RD AT GLENSHEPHARD DR EAST WEST SIDE,Scarborough Southwest
1614,PARKSIDE DR AT THE QUEENSWAY NORTH SIDE,Parkdale-High Park
1615,BATHURST ST AT LAURELCREST AVE,York Centre
1616,DUNDAS ST WEST AT GLADSTONE AVE,Davenport
1617,CLIFF ST AT CORDELLA AVE,York South-Weston
1618,STAINES RD AT WARBLER CIR,Scarborough-Rouge Park
1619,PHARMACY AVE AT DONSIDE DR NORTH SIDE,Scarborough Southwest
1620,ISLINGTON AVE AT THE KINGSWAY NORTH SIDE,Etobicoke Centre
1621,BAYVIEW AVE AT YORK MILLS RD,Don Valley West
1622,CARLTON ST AT PARLIAMENT ST,Toronto Centre
1623,GLENCAIRN STATION,Eglinton-Lawrence
1624,HIGHVIEW AVE AT SOUTH EDGELY AVE,Scarborough Southwest
1625,MILNER AVE AT EXECUTIVE CRT,Scarborough North
1626,OPPOSITE 580 RATHBURN RD (SENECA SCHOOL),Etobicoke Centre
1627,BURNHAMTHORPE RD AT ASHBOURNE DR,Etobicoke Centre
1628,BIRCHMOUNT RD AT CASS AVE,Scarborough-Agincourt
1629,THE EAST MALL AT KEANE AVE NORTH SIDE,Etobicoke Centre
1630,BAY ST AT DAVENPORT RD,University-Rosedale
1631,CALEDONIA RD AT GLENCAIRN AVE,Eglinton-Lawrence
1632,ST CLAIR AVE EAST AT PHARMACY AVE WEST SIDE,Scarborough Southwest
1633,MCCOWAN RD AT FINCH AVE EAST,Scarborough North
1634,DUNDAS ST WEST AT CHESTNUT HILLS CRES,Etobicoke Centre
1635,SHEPPARD AVE WEST AT DUFFERIN ST (SHEPPARD WEST STATION),York Centre
1636,115 MILNER AVE,Scarborough North
1637,MURISON BLVD AT BRECKON GATE,Scarborough-Rouge Park
1638,DUNDAS ST WEST AT BEVERLEY ST,University-Rosedale
1639,THE ESPLANADE AT LOWER SHERBOURNE ST,Toronto Centre
1640,RATHBURN RD AT REMINGTON DR,Etobicoke Centre
1641,BATHURST ST AT WILSON AVE,York Centre
1642,ROYAL YORK RD AT THOMPSON AVE,Etobicoke-Lakeshore
1643,OPPOSITE 68 RAILSIDE RD,Don Valley East
1644,DANFORTH AVE AT JONES AVE,Toronto-Danforth
1645,PHARMACY AVE AT LAWRENCE AVE EAST,Scarborough Centre
1646,BATHURST ST AT FORT YORK BLVD,Spadina-Fort York
1647,RATHBURN RD AT HALIBURTON AVE,Etobicoke Centre
1648,KIPLING AVE AT FINCH AVE WEST,Etobicoke North
1649,LAMBTON AVE AT GUESTVILLE AVE,York South-Weston
1650,GRAYDON HALL DR AT DON MILLS RD,Don Valley East
1651,SYMINGTON AVE AT ANTLER ST,Davenport
1652,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Etobicoke North
1653,BATHURST ST AT ARDMORE RD SOUTH SIDE,Toronto-St. Paul's
1654,WELLESLEY ST EAST AT CHURCH ST,Toronto Centre
1655,715 MILNER AVE (HONDA PLANT-EAST ENTRANCE),Scarborough-Rouge Park
1656,UNDERHILL DR AT DOONAREE DR SOUTH SIDE,Don Valley East
1657,FINCH AVE EAST AT BRIDLETOWNE CIRCLE (EAST),Scarborough-Agincourt
1658,ST CLAIR AVE WEST AT HOUNSLOW HEATH RD,Davenport
1659,ANGLESEY BLVD AT ROYAL YORK RD,Etobicoke Centre
1660,CARLUKE CRES AT FIFESHIRE RD (EAST) WEST SIDE,Don Valley West
1661,1121 LESLIE ST,Don Valley East
1662,BLOOR ST WEST AT JACKSON AVE,Etobicoke-Lakeshore
1663,BLOOR ST WEST AT PALMERSTON BLVD,University-Rosedale
1664,DON MILLS RD AT CLIFFWOOD RD (SOUTH),Don Valley North
1665,BROOKBANKS DR AT VALLEY WOODS RD,Don Valley East
1666,WOODBINE AVE AT MILVERTON BLVD,Beaches-East York
1667,DAVENPORT RD AT LIGHTBOURN AVE,Davenport
1668,ISLINGTON AVE AT DUNCANWOODS DR NORTH SIDE,Humber River-Black Creek
1669,DAVENPORT RD AT AVENUE RD,University-Rosedale
1670,MCNICOLL AVE AT MOGUL DR,Don Valley North
1671,CROSBY AVE AT VARSITY RD,Parkdale-High Park
1672,WARDEN AVE AT CLOVERLEAF GATE,Scarborough-Agincourt
1673,KEELE ST AT ARROWSMITH AVE,York South-Weston
1674,DANFORTH AVE AT AUGUST AVE,Scarborough Southwest
1675,MCNICOLL AVE AT MORBANK DR,Scarborough-Agincourt
1676,101 DUNCAN MILL RD,Don Valley East
1677,BAYVIEW AVE AT MCKEE AVE,Willowdale
1678,THE WESTWAY AT ISLINGTON AVE,Etobicoke Centre
1679,BIRCHMOUNT RD AT HUNTINGWOOD DR,Scarborough-Agincourt
1680,CALVINGTON DR AT LEXFIELD AVE,York Centre
1681,MIDLAND AVE AT LAWRENCE AVE EAST,Scarborough Centre
1682,ROYAL YORK RD AT KINGSGROVE BLVD,Etobicoke-Lakeshore
1683,ST CLAIR AVE EAST AT HODDER ST,Beaches-East York
1684,DUNDAS ST WEST AT DOVERCOURT RD,Davenport
1685,MORTIMER AVE AT DEWHURST BLVD,Toronto-Danforth
1686,MAYBROOK DR AT PASSMORE AVE,Scarborough North
1687,KENNEDY RD AT FLORA DR,Scarborough Centre
1688,MORTIMER AVE AT DUNKIRK RD,Beaches-East York
1689,DUFFERIN ST AT KING ST WEST,Spadina-Fort York
1690,RUNNYMEDE RD AT ST JOHNS RD,Parkdale-High Park
1691,BELLAMY RD NORTH AT PANDORA CIR,Scarborough-Guildwood
1692,LAWRENCE AVE EAST AT CENTENNIAL RD,Scarborough-Rouge Park
1693,YONGE ST AT KING ST EAST (KING STATION),Toronto Centre
1694,CALEDONIA RD AT ORFUS RD,Eglinton-Lawrence
1695,2050 MCCOWAN RD,Scarborough North
1696,241 WOODSWORTH RD,Don Valley West
1697,ROYAL YORK RD AT COBBLE HILLS,Etobicoke Centre
1698,LAWRENCE AVE EAST AT MEGAN AVE,Scarborough-Rouge Park
1699,DUNDAS ST WEST AT RUNNYMEDE RD,Parkdale-High Park
1700,VICTORIA PARK AVE AT DANFORTH AVE,Scarborough Southwest
1701,WESTON RD AT WILBY CRES,York South-Weston
1702,KING ST WEST AT TECUMSETH ST,Spadina-Fort York
1703,30 DREWRY AVE,Willowdale
1704,ISLINGTON AVE AT EVANS AVE,Etobicoke-Lakeshore
1705,4500 SHEPPARD AVE EAST,Scarborough North
1706,ATKINSON RD AT SPRING GATE BLVD SOUTH SIDE,outside_wards
1707,ALBION RD AT BENSTROW AVE,Etobicoke North
1708,949 WILSON AVE,York Centre
1709,SHEPPARD AVE EAST AT MORNINGSIDE AVE WEST SIDE,Scarborough-Rouge Park
1710,2950 MIDLAND AVE,Scarborough-Agincourt
1711,VICTORIA PARK AVE AT DEANVAR AVE,Scarborough Centre
1712,KING ST WEST AT STRACHAN AVE,Spadina-Fort York
1713,BIRCHMOUNT RD AT GLENDOWER CIRCT (SOUTH),Scarborough-Agincourt
1714,ISLINGTON AVE AT VAN DUSEN BLVD,Etobicoke-Lakeshore
1715,MCCOWAN RD AT MCNICOLL AVE,Scarborough North
1716,BLOOR ST WEST AT LAUREL AVE,Etobicoke Centre
1717,STEELES AVE WEST AT GIHON SPRING DR,outside_wards
1718,YONGE ST AT RANLEIGH AVE,Eglinton-Lawrence
1719,CALEDONIA RD AT PLAYFAIR AVE,Eglinton-Lawrence
1720,ELLESMERE RD AT MCCOWAN RD,Scarborough Centre
1721,HUNTINGWOOD DR AT COLINAYRE CRES,Scarborough-Agincourt
1722,KEELE ST AT ST REGIS CRES,Humber River-Black Creek
1723,WILSON AVE AT LEXFIELD AVE WEST SIDE,York Centre
1724,CLAYSON RD AT BARTOR RD,Humber River-Black Creek
1725,87 SKYWAY AVE,Etobicoke North
1726,THE QUEENSWAY AT ROYAL YORK RD,Etobicoke-Lakeshore
1727,BAY ST AT ADELAIDE ST WEST NORTH SIDE,Toronto Centre
1728,EGLINTON AVE WEST AT WESTOVER HILL RD,Toronto-St. Paul's
1729,2278 BRIMLEY RD,Scarborough North
1730,BELLAMY RD NORTH AT EASTPARK BLVD,Scarborough-Guildwood
1731,PARLIAMENT ST AT GERRARD ST EAST,Toronto Centre
1732,154 NORFINCH DR,Humber River-Black Creek
1733,BRIMLEY RD AT GOLDEN GATE CRT,Scarborough Centre
1734,WILLOWDALE AVE AT SHEPPARD AVE EAST,Willowdale
1735,DRIFTWOOD AVE AT LASKAY CRES,Humber River-Black Creek
1736,O'CONNOR DR AT ST CLAIR AVE EAST,Beaches-East York
1737,JANE ST AT ALLIANCE AVE,York South-Weston
1738,WILMINGTON AVE AT CAVOTTI CRES,York Centre
1739,AVENUE RD AT DAVENPORT RD,University-Rosedale
1740,BATHURST ST AT FAIRLAWN AVE,Eglinton-Lawrence
1741,DANFORTH AVE AT GLEBEMOUNT AVE,Beaches-East York
1742,DUFFERIN ST AT HOPE ST,Davenport
1743,VAN HORNE AVE AT DON MILLS RD EAST SIDE,Don Valley North
1744,LAWRENCE AVE EAST AT VICTORIA PARK AVE EAST SIDE,Scarborough Centre
1745,SHEPPARD AVE EAST AT WILLOWDALE AVE,Willowdale
1746,PARLIAMENT ST AT QUEEN ST EAST,Toronto Centre
1747,OSSINGTON AVE AT PENDRITH ST,Davenport
1748,OPPOSITE 715 MILNER AVE (HONDA PLANT-WEST ENTRANCE),Scarborough-Rouge Park
1749,DUNCAN MILL RD AT DON MILLS RD,Don Valley East
1750,BLOOR ST WEST AT RESURRECTION RD,Etobicoke-Lakeshore
1751,1901 EGLINTON AVE EAST,Scarborough Southwest
1752,DAVEAN DR AT DUNLACE DR,Don Valley West
1753,KIPLING AVE AT ST ANDREWS BLVD SOUTH SIDE,Etobicoke North
1754,MORTIMER AVE AT GLEBEMOUNT AVE,Beaches-East York
1755,LAWRENCE AVE EAST AT TOWNLEY AVE EAST SIDE,Scarborough Centre
1756,THORNCLIFFE PARK DR EAST AT OVERLEA BLVD NORTH SIDE,Don Valley West
1757,STEELES AVE WEST AT ISLINGTON AVE EAST SIDE,Humber River-Black Creek
1758,SHEFFIELD ST AT HAFIS RD NORTH SIDE,York South-Weston
1759,BIRCHMOUNT RD AT MERRYFIELD DR,Scarborough Centre
1760,VICTORIA PARK AVE AT PARMA CRT SOUTH SIDE,Beaches-East York
1761,WESTON RD AT YORK AVE NORTH SIDE,York South-Weston
1762,NEILSON RD AT MILNER AVE,Scarborough North
1763,ROGERS RD AT SILVERTHORN AVE,Davenport
1764,BIRCHMOUNT RD AT ELLESMERE RD,Scarborough Centre
1765,KINGSTON RD AT WARDEN AVE,Scarborough Southwest
1766,MOORE PARK AVE AT YONGE ST WEST SIDE,Willowdale
1767,ST CLAIR AVE EAST AT DORIS DR,Beaches-East York
1768,JANE ST AT WESTON RD,York South-Weston
1769,BRIMLEY RD AT MINERVA AVE,Scarborough Southwest
1770,BROWN'S LINE AT LAKE SHORE BLVD WEST NORTH SIDE,Etobicoke-Lakeshore
1771,190 RAILSIDE RD,Don Valley East
1772,STEELES AVE WEST AT NEW WESTMINSTER DR,York Centre
1773,EGLINTON AVE WEST AT CHILTERN HILL RD,Toronto-St. Paul's
1774,BEECHGROVE DR AT JANELLAN TER,Scarborough-Rouge Park
1775,BALDOON RD AT FINCH AVE EAST SOUTH SIDE,Scarborough North
1776,DANFORTH RD AT ST CLAIR AVE EAST,Scarborough Southwest
1777,SHEPPARD AVE EAST AT CLAIRTRELL RD,Willowdale
1778,3800 YONGE ST,Eglinton-Lawrence
1779,FINCH AVE WEST AT ALBION RD,Etobicoke North
1780,FINCH AVE EAST AT CHARTLAND BLVD SOUTH,Scarborough North
1781,MARKHAM RD AT ORCHID PLACE DR,Scarborough North
1782,HUNTINGWOOD DR AT BATTERSWOOD DR,Scarborough-Agincourt
1783,DAVENPORT RD AT OSLER ST,Davenport
1784,MCCOWAN RD AT PROGRESS AVE NORTH SIDE,Scarborough-Guildwood
1785,ORMONT DR AT WESTON RD,Humber River-Black Creek
1786,ST CLAIR AVE EAST AT LINDEN AVE - SCARBOROUGH GO STATION,Scarborough Southwest
1787,PORT UNION RD AT CONFERENCE BLVD,Scarborough-Rouge Park
1788,SHEPPARD AVE EAST AT DUDLEY AVE,Willowdale
1789,29 VALLEY WOODS RD,Don Valley East
1790,PRITCHARD AVE AT BATAVIA AVE,York South-Weston
1791,OAKDALE RD AT EDDYSTONE AVE,Humber River-Black Creek
1792,MORNINGSIDE AVE AT GUILDWOOD PKWY,Scarborough-Guildwood
1793,MORNINGSIDE AVE AT WINDERMERE AVE,Parkdale-High Park
1794,BLOOR ST WEST AT GREEN LANES EAST SIDE,Etobicoke-Lakeshore
1795,SHERBOURNE ST AT SHUTER ST,Toronto Centre
1796,4640 FINCH AVE EAST,Scarborough North
1797,BAYVIEW AVE AT FIFE RD,Don Valley West
1798,FAYWOOD BLVD AT DRESDEN RD,York Centre
1799,CARRIER DR AT ALBION RD,Etobicoke North
1800,VICTORIA PARK AVE AT HUNTINGWOOD DR,Scarborough-Agincourt
1801,BANNATYNE DR AT BEAVERHALL DR,Don Valley West
1802,BLOOR ST WEST AT OSSINGTON AVE,Davenport
1803,WYNFORD DR AT GARAMOND CRT WEST SIDE,Don Valley East
1804,HUPFIELD TRAIL AT LADY BOWER CRES (SOUTH) NORTH SIDE,Scarborough-Rouge Park
1805,ROYAL YORK RD AT ASHLEY PARK RD (NORTH) NORTH SIDE,Etobicoke Centre
1806,JANE ST AT SHEPPARD AVE WEST,Humber River-Black Creek
1807,COLLEGE ST AT CRAWFORD ST,University-Rosedale
1808,LANSDOWNE AVE AT WALLACE AVE,Davenport
1809,RAILSIDE RD (EAST) AT LAWRENCE AVE EAST SOUTH SIDE,Don Valley East
1810,FINCH AVE EAST AT MAXOME AVE EAST SIDE,Willowdale
1811,DANFORTH RD AT TRUDELLE ST,Scarborough Centre
1812,FINCH AVE EAST AT SKYMARK DR,Don Valley North
1813,BIRCHMOUNT RD AT SHEPPARD AVE EAST,Scarborough-Agincourt
1814,KENNEDY RD AT STEELES AVE EAST,Scarborough-Agincourt
1815,CULFORD RD AT LAWRENCE AVE WEST NORTH SIDE,York South-Weston
1816,WARDEN AVE AT BERTRAND AVE,Scarborough Centre
1817,CHURCH ST AT GEORGE ST,York South-Weston
1818,O'CONNOR DR AT GLENWOOD CRES WEST SIDE,Beaches-East York
1819,THE QUEENSWAY AT GRAND AVE,Etobicoke-Lakeshore
1820,KIPLING AVE AT JOHN GARLAND BLVD,Etobicoke North
1821,ROYAL YORK RD AT CONEY RD NORTH SIDE,Etobicoke-Lakeshore
1822,WARDEN AVE AT OPPOSITE WALKWAY TO SEAGRAVE CRES,Scarborough-Agincourt
1823,DIXON RD AT ATTWELL DR,Etobicoke North
1824,BLOOR ST WEST AT MARKLAND DR (EAST),Etobicoke Centre
1825,MCNICOLL AVE AT TIFFIELD RD EAST SIDE,Scarborough North
1826,BAYVIEW AVE AT LAWRENCE AVE EAST (YORK U GLENDON CAMPUS),Don Valley West
1827,NORTH YORK GENERAL HOSPITAL - MAIN ENTRANCE,Don Valley North
1828,MORNINGSIDE AVE AT TEFFT RD,Scarborough-Rouge Park
1829,GREENWIN VILLAGE RD AT ELISE TER (WEST),Willowdale
1830,EGLINTON AVE WEST AT KIPLING AVE,Etobicoke Centre
1831,ST CLAIR AVE EAST AT GIDLEY RD,Scarborough Southwest
1832,LAWRENCE AVE EAST AT RONAN AVE,Don Valley West
1833,KIPLING AVE AT HOLYWELL DR,Etobicoke Centre
1834,KINGSTON RD AT FALLINGBROOK RD,Scarborough Southwest
1835,MIDLAND AVE AT HAGLEY RD,Scarborough Southwest
1836,FINCH AVE EAST AT SANDHURST CIR (WEST),Scarborough North
1837,BAYVIEW AVE AT BROADWAY AVE NORTH SIDE,Don Valley West
1838,OPPOSITE 125 THE QUEENSWAY,Etobicoke-Lakeshore
1839,BAYVIEW AVE AT KILGOUR RD NORTH SIDE (CNIB),Don Valley West
1840,AIRPORT RD AT HIGHWAY 427 OVERPASS WEST SIDE,outside_wards
1841,VICTORIA PARK AVE AT GERRARD ST EAST,Beaches-East York
1842,VICTORIA PARK AVE AT MCNICOLL AVE,Don Valley North
1843,MARTIN GROVE RD AT TOLLINGTON RD,Etobicoke Centre
1844,CACTUS AVE AT HOMEWOOD AVE,Willowdale
1845,2265 MIDLAND AVE,Scarborough Centre
1846,SHEPPARD AVE EAST AT WARDEN AVE,Scarborough-Agincourt
1847,GERRARD ST EAST AT SACKVILLE ST,Toronto Centre
1848,1180 ALBION RD,Etobicoke North
1849,FINCH AVE EAST AT TAPSCOTT RD,Scarborough North
1850,PRINCE EDWARD DR SOUTH AT KIRK BRADDEN RD EAST,Etobicoke-Lakeshore
1851,SCARLETT RD AT RICHVIEW RD NORTH SIDE,Etobicoke Centre
1852,PHARMACY AVE AT HUNTINGDALE BLVD,Scarborough-Agincourt
1853,GERRARD ST EAST AT WOODBINE AVE,Beaches-East York
1854,DAWES RD AT SECORD AVE,Beaches-East York
1855,VICTORIA PARK AVE AT WAKEHOOD ST SOUTH SIDE,Beaches-East York
1856,WILSON HEIGHTS BLVD AT BRIGHTON AVE,York Centre
1857,BIRCHMOUNT RD AT STEELES AVE EAST NORTH SIDE,outside_wards
1858,DAVENPORT RD AT LAUGHTON AVE,Davenport
1859,SHEPPARD AVE EAST AT RAINBOW RIDGE AVE,Scarborough-Rouge Park
1860,WARDEN AVE AT CATARAQUI CRES,Scarborough Southwest
1861,BURNHAMTHORPE RD AT MARTIN GROVE RD WEST SIDE,Etobicoke Centre
1862,MIDLAND AVE AT EMMELINE CRES SOUTH SIDE,Scarborough-Agincourt
1863,NORTH QUEEN ST AT EASTSIDE DR,Etobicoke-Lakeshore
1864,DIXON RD AT HAVENRIDGE DR WEST SIDE,Etobicoke North
1865,DANFORTH AVE AT WOODYCREST AVE,Toronto-Danforth
1866,MCCOWAN RD AT TRAIL RIDGE LANE,outside_wards
1867,MILITARY TRAIL AT BOBMAR RD,Scarborough-Rouge Park
1868,MCCOWAN RD AT HUNTINGWOOD DR,Scarborough North
1869,DUNDAS ST EAST AT SHERBOURNE ST,Toronto Centre
1870,SCARBOROUGH GOLF CLUB RD AT DENSGROVE RD,Scarborough-Guildwood
1871,THE EAST MALL AT THE QUEENSWAY,Etobicoke-Lakeshore
1872,THE WEST MALL AT HOLIDAY DR,Etobicoke Centre
1873,UPPER HIGHLAND CRES AT OWEN BLVD,Don Valley West
1874,DUNDAS ST WEST AT HOWLAND ST,Parkdale-High Park
1875,BRIMORTON DR AT LINVILLE RD,Scarborough-Guildwood
1876,KINGSTON RD AT POPLAR RD,Scarborough-Guildwood
1877,572 TRETHEWEY DR,York South-Weston
1878,QUEEN ST EAST AT PAPE AVE,Toronto-Danforth
1879,DUFFERIN ST AT CHANDOS AVE,Davenport
1880,KEELE ST AT YORE RD NORTH SIDE,York South-Weston
1881,GRANDRAVINE DR AT KEELE ST WEST SIDE,Humber River-Black Creek
1882,LESLIE ST AT WICKSTEED AVE,Don Valley West
1883,DEAUVILLE LANE AT GRENOBLE DR SOUTH SIDE,Don Valley East
1884,BRIMORTON DR AT ORTON PARK RD WEST SIDE,Scarborough-Guildwood
1885,MARKHAM RD AT TUXEDO CRT,Scarborough-Guildwood
1886,LAWRENCE AVE EAST AT BROCKLEY DR,Scarborough Centre
1887,TAPSCOTT RD AT CROW TRAIL,Scarborough North
1888,FINCH AVE WEST AT WESTON RD EAST SIDE,Humber River-Black Creek
1889,ROYAL YORK RD AT STRATH HUMBER CRT,Etobicoke Centre
1890,LAWRENCE AVE EAST AT THE DONWAY WEST,Don Valley East
1891,MCNICOLL AVE AT LA PEER BLVD,Scarborough-Agincourt
1892,HUPFIELD TRAIL AT HORSESHOE CRES (NORTH),Scarborough-Rouge Park
1893,HUPFIELD TRAIL AT OVERLORD CRES (EAST) EAST SIDE,Scarborough-Rouge Park
1894,QUEEN ST EAST AT VICTORIA ST (ST MICHAELS HOSPITAL),Toronto Centre
1895,STEELES AVE EAST AT HILLCROFT DR,outside_wards
1896,BLOOR ST WEST AT ACORN AVE,Etobicoke-Lakeshore
1897,VICTORIA PARK AVE AT PLEASANT VIEW DR,Don Valley North
1898,VAN HORNE AVE AT VICTORIA PARK AVE,Don Valley North
1899,SUTHERLAND DR AT BESSBOROUGH DR,Don Valley West
1900,257 FINCHDENE SQ,Scarborough North
1901,GLENCAIRN AVE AT ENNERDALE ST EAST SIDE,Eglinton-Lawrence
1902,GERRARD ST EAST AT SUMACH ST,Toronto Centre
1903,FINCH AVE EAST AT WILLOWDALE AVE,Willowdale
