,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
71965,7/14/22,81.0,17:20,Thursday,THORNCLIFFE PARK,Operations - Operator,7,14,S,3759
72090,7/15/22,902.0,09:24,Friday,MARKHAM AND LAWRENCE,Mechanical,15,30,N,3478
72118,7/15/22,8.0,14:00,Friday,ENTIRE ROUTE,General Delay,15,30,nan,0
72225,7/15/22,42.0,21:25,Friday,FINCH STATION,Operations - Operator,18,46,W,3261
72264,7/16/22,98.0,06:45,Saturday,YONGE AND SHEPPARD,Operations - Operator,30,60,W,8313
72291,7/16/22,84.0,09:40,Saturday,SHEPPARD AND JANE,Operations - Operator,10,20,W,3614
72346,7/16/22,47.0,13:46,Saturday,YORKDALE STATION,Operations - Operator,17,34,S,8175
72642,7/18/22,24.0,12:22,Monday,VICTORIA PARK STATION,Operations - Operator,10,20,N,8593
72654,7/18/22,39.0,13:09,Monday,FINCH AND KENNEDY,Operations - Operator,18,36,E,3271
72672,7/18/22,960.0,14:08,Monday,STEELES AND NEW WESTMI,Operations - Operator,11,22,W,8367
72948,7/19/22,75.0,14:12,Tuesday,SHERBOURNE STATION,Operations - Operator,9,18,N,8454
72968,7/19/22,49.0,15:17,Tuesday,KIPLING STATION,Mechanical,17,34,E,7978
72988,7/19/22,13.0,16:05,Tuesday,EGLINTON STATION,Operations - Operator,30,60,S,8208
72993,7/19/22,935.0,16:20,Tuesday,PIONEER VILLAGE STATIO,Mechanical,12,24,N,1055
73183,7/20/22,72.0,13:51,Wednesday,PAPE STATION,Operations - Operator,22,44,S,8585
73384,7/21/22,63.0,09:49,Thursday,EGLINTON WEST STN,Operations - Operator,10,20,S,8373
73416,7/21/22,85.0,13:20,Thursday,MEADOWVALE LOOP,Operations - Operator,7,15,E,3451
73424,7/21/22,54.0,13:32,Thursday,LAWRENCE AND WARDEN,Operations - Operator,10,20,W,8808
73506,7/21/22,29.0,17:36,Thursday,WILSON STATION,Mechanical,8,16,S,9037
73680,7/22/22,123.0,12:55,Friday,KIPLING STATION,Operations - Operator,21,42,S,8052
73762,7/22/22,1.0,16:00,Friday,SHEPPARD AND BIRCHMOUN,General Delay,20,0,nan,0
73813,7/22/22,95.0,18:51,Friday,ELLESMERE AND MARKHAM,Operations - Operator,11,22,E,3462
74110,7/24/22,985.0,18:28,Sunday,DON MILLS STATION,Utilized Off Route,15,30,E,9077
74323,7/25/22,52.0,17:19,Monday,LAWRENCE STATION,Operations - Operator,17,25,W,8896
74406,7/26/22,36.0,07:27,Tuesday,JANE AND FINCH,Utilized Off Route,18,36,W,8897
74499,7/26/22,24.0,13:21,Tuesday,WOODBINE AND MERRILL,Utilized Off Route,10,20,S,8609
74509,7/26/22,63.0,13:56,Tuesday,EGLINTON WEST STATION,Operations - Operator,8,16,N,8389
74554,7/26/22,47.0,15:48,Tuesday,YORKDALE STATION,Operations - Operator,20,40,S,8330
74557,7/26/22,32.0,15:57,Tuesday,PIONEER VILLAGE STATIO,Operations - Operator,10,20,S,0
74565,7/26/22,939.0,16:15,Tuesday,DUFFERIN AND GLENCAIRN,Operations - Operator,8,16,N,9037
74723,7/27/22,37.0,11:01,Wednesday,ISLINGTON STATION,Operations - Operator,25,50,W,8068
74828,7/27/22,46.0,16:35,Wednesday,KIPLING STATION,Utilized Off Route,11,22,W,3334
74840,7/27/22,172.0,16:56,Wednesday,FRONT AND BAY,Operations - Operator,30,60,E,8731
74841,7/27/22,172.0,16:56,Wednesday,FRONT AND BAY,Operations - Operator,30,60,E,8731
75007,7/28/22,35.0,13:04,Thursday,JANE AND TRETHEWEY,Operations - Operator,8,16,S,1043
75092,7/28/22,929.0,17:13,Thursday,MT DENNIS GARAGE,Operations - Operator,10,20,nan,9045
75096,7/28/22,53.0,17:17,Thursday,FINCH STATION,Operations - Operator,6,12,E,3278
75148,7/28/22,32.0,21:35,Thursday,EGLINTON STATION,Mechanical,13,26,E,1088
75254,7/29/22,71.0,12:25,Friday,RUNNYMEDE AND GLENWOOD,Operations - Operator,12,24,N,3360
