,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
32587,10/20/21,9,09:03,Wednesday,WARDEN STATION,Operations - Operator,27,44,nan,8929
33001,10/23/21,11,21:07,Saturday,DAVISVILLE STATION,Operations - Operator,24,48,N,8863
33532,10/27/21,86,15:09,Wednesday,HIGHLAND CREEK OVERPAS,Operations - Operator,15,30,nan,0
33682,10/28/21,101,11:34,Thursday,SHEPPARD WEST STATION,Mechanical,20,40,W,8359
34369,11/7/21,11,17:35,Sunday,DAVISVILLE STATION,Operations - Operator,30,60,N,8782
34736,11/11/21,85,14:08,Thursday,DON MILLS STATION,Operations - Operator,21,42,S,1217
35417,11/17/21,52,10:31,Wednesday,LAWRENCE AND RALPH,Operations - Operator,20,40,nan,3565
35689,11/18/21,106,18:53,Thursday,UNKNOWN,Operations - Operator,11,22,nan,0
35733,11/19/21,953,07:25,Friday,MORNINGSIDE AND FINCH,Mechanical,14,28,E,9101
35765,11/19/21,107,12:00,Friday,UNKNOWN,Operations - Operator,10,20,nan,8314
36072,11/22/21,68,07:13,Monday,WARDEN AND HYMUS,Operations - Operator,39,78,S,3265
36091,11/22/21,52,11:29,Monday,LAWRENCE AND AVENUE,Mechanical,20,40,W,3539
37042,12/1/21,123,12:55,Wednesday,KIPLING STATION,Operations - Operator,21,42,N,8078
37293,12/3/21,24,14:10,Friday,VICTORIA PARK STATION,Operations - Operator,10,20,nan,8417
37601,12/6/21,985,17:02,Monday,SCARBOROUGH CENTRE STA,Utilized Off Route,10,20,nan,9069
37791,12/8/21,86,08:08,Wednesday,EGLINTON AND DANFORTH,General Delay,20,40,E,1222
39250,12/18/21,90,17:42,Saturday,WILSON GARAGE,Operations - Operator,8,16,nan,8342
39348,12/19/21,63,15:20,Sunday,EGLINTON WEST STATION,Operations - Operator,7,14,S,8317
39458,12/20/21,53,13:22,Monday,STEELES AND MIDLAND,Operations - Operator,6,12,W,3329
39927,12/22/21,54,18:51,Wednesday,LAWRENCE AND WARDEN,Operations - Operator,11,22,nan,8743
40142,12/23/21,25,15:44,Thursday,PAPE STATION,Mechanical,6,12,S,8682
40980,12/28/21,996,14:42,Tuesday,LAWRENCE AND JANE,Operations - Operator,12,24,nan,3542
41098,12/29/21,320,02:06,Wednesday,YONGE AND QUEENS QUAY,Operations - Operator,3,7,N,0
41220,12/29/21,108,13:25,Wednesday,SHEPPARD WEST STATION,Operations - Operator,20,40,nan,8890
41318,12/29/21,160,16:24,Wednesday,WILSON STATION,Operations - Operator,24,48,nan,8373
41835,12/31/21,54,06:04,Friday,STARSPRAY LOOP,Operations - Operator,10,20,nan,0
41873,12/31/21,41,08:58,Friday,KEELE AND LAWRENCE,Mechanical,10,19,S,9055
42039,12/31/21,905,14:38,Friday,ELLESMERE AND MORISH,Operations - Operator,8,16,E,8542
42142,12/31/21,63,16:24,Friday,EGLINTON WEST STATION,Operations - Operator,8,18,S,8393
42201,12/31/21,102,18:23,Friday,MARKHAM AND PROGRESS,Operations - Operator,7,15,E,3413
42329,1/1/22,116,12:18,Saturday,KENNEDY STATION,Operations - Operator,6,13,E,1217
42345,1/1/22,89,13:15,Saturday,KEELE STATION,Operations - Operator,10,20,N,8163
42485,1/2/22,52,15:48,Sunday,LAWRENCE AND JANE,Operations - Operator,16,32,W,3600
43156,1/5/22,7,09:36,Wednesday,BATHURST AND WILSON,Operations - Operator,10,20,S,8330
43225,1/5/22,60,14:22,Wednesday,PIONEER VILLAGE STATIO,Operations - Operator,15,30,E,8116
43328,1/5/22,29,19:25,Wednesday,DUFFERIN AND LAWRENCE,Operations - Operator,8,16,N,9024
43465,1/6/22,73,13:44,Thursday,ROYAL YORK STATION,Operations - Operator,20,40,N,7922
43467,1/6/22,108,13:45,Thursday,SHEPPARD WEST STATION,Operations - Operator,20,40,N,3584
43839,1/7/22,7,16:45,Friday,BATHURST AND LAWRENCE,Operations - Operator,10,20,N,9007
43956,1/8/22,37,08:34,Saturday,HUMBERWOOD LOOP,Operations - Operator,18,36,S,0
44329,1/10/22,43,15:29,Monday,KENNEDY STATION,Operations - Operator,15,30,N,3325
44331,1/10/22,39,15:31,Monday,FINCH STATION,Operations - Operator,5,10,E,3158
44397,1/10/22,47,20:08,Monday,YORKDALE STATION,Operations - Operator,10,20,S,8117
