,stop_name,Ward_name,zone_type
1251,PAPE AVE AT BAIN AVE,Toronto-Danforth,Residential
1252,HUMBERWOOD BLVD AT HONEYVIEW PL,Etobicoke North,Residential Detached
1253,BRIMLEY RD AT HUNTINGWOOD DR,Scarborough North,Residential Detached
1254,2901 JANE ST,Humber River-Black Creek,Residential Apartment
1255,BELLAMY RD NORTH AT NORTHLEIGH DR,Scarborough-Guildwood,Residential Detached
1256,UNDERHILL DR AT BROOKBANKS DR SOUTH SIDE,Don Valley East,Open Space Natural
1257,RUNNYMEDE RD AT COLBECK ST,Parkdale-High Park,Residential
1258,BATHURST ST AT PATRICIA AVE NORTH SIDE,Willowdale,Residential Townhouse
1259,MCCOWAN RD AT HERITAGE RD,outside_wards,not_defined
1260,OPPOSITE 1801-1821 ALBION RD,Etobicoke North,not_defined
1261,MT PLEASANT RD AT HEATH ST EAST,University-Rosedale,Residential
1262,JANE ST AT GOLDWIN AVE SOUTH SIDE,York South-Weston,Residential Multiple
1263,THISTLE DOWN BLVD AT THISTLE DOWN BLVD NORTH SIDE,Etobicoke North,Residential Detached
1264,IAN MACDONALD BLVD AT THE CHIMNEYSTACK RD,Humber River-Black Creek,not_defined
1265,ARLETA AVE AT SPENVALLEY DR,Humber River-Black Creek,Residential Multiple
1266,ST CLAIR AVE EAST AT REXLEIGH DR,Beaches-East York,Residential Detached
1267,STEELES AVE WEST AT NORFINCH DR,outside_wards,not_defined
1268,CULFORD RD AT GULLIVER RD,York South-Weston,Open Space Natural
1269,RATHBURN RD AT ELMCREST RD,Etobicoke Centre,Open Space Recreation
1270,MAPLE LEAF DR AT BOURDON AVE,York South-Weston,Residential Detached
1271,O'CONNOR DR AT DOHME AVE,Beaches-East York,Commercial Residential
1272,MILVAN DR AT MILWICK DR (SOUTH),Humber River-Black Creek,Employment Light Industrial
1273,SYMINGTON AVE AT ANTLER ST,Davenport,Residential
1274,ROYALCREST RD AT LEADING RD,Etobicoke North,not_defined
1275,BERMONDSEY RD AT BARTLEY DR,Don Valley East,Employment Heavy Industrial
1276,45 IRONSIDE CRES,Scarborough North,Employment Industrial
1277,RUNNYMEDE RD AT DUNDAS ST WEST,Parkdale-High Park,not_defined
1278,92 OAKDALE RD,Humber River-Black Creek,Employment Light Industrial
1279,CALEDONIA RD AT INNES AVE NORTH SIDE,Davenport,Residential
1280,QUEEN'S PARK CRES EAST AT COLLEGE ST NORTH SIDE,University-Rosedale,not_defined
1281,COE HILL DR AT WINDERMERE AVE SOUTH SIDE,Parkdale-High Park,Open Space Natural
1282,BRIMLEY RD AT OPPOSITE WALKWAY TO AUDRELANE CRT,Scarborough North,Residential Detached
1283,LAWSON RD AT IRVINE RD,Scarborough-Rouge Park,Residential Detached
1284,BELLAMY RD NORTH AT JARWICK DR,Scarborough-Guildwood,Residential Detached
1285,LAKE SHORE BLVD WEST AT FIFTEENTH ST,Etobicoke-Lakeshore,Commercial Residential
1286,BRIMLEY RD AT STRODE DR,Scarborough Centre,Residential Detached
1287,GLEN RD AT WHITNEY AVE,University-Rosedale,Residential Detached
1288,GATEWAY BLVD (SOUTH SIDE) AT SUNNY GLENWAY (EAST SIDE),Don Valley East,not_defined
1289,WILSON AVE AT CLAYSON RD WEST SIDE,Humber River-Black Creek,not_defined
1290,DONLANDS AVE AT COSBURN AVE SOUTH SIDE,Toronto-Danforth,not_defined
1291,EGLINTON AVE EAST AT BEACHELL ST,Scarborough-Guildwood,Commercial Residential
1292,FINCH AVE EAST AT MILLIKEN BLVD,Scarborough-Agincourt,Residential Townhouse
1293,SCARLETT RD AT LAWRENCE AVE WEST,Etobicoke Centre,Residential Detached
1294,ALBION RD AT CALSTOCK DR,Etobicoke North,Residential Multiple
1295,AVENUE RD AT BOSWELL AVE,University-Rosedale,Commercial Residential
1296,DIXON RD AT MCMANUS RD WEST SIDE,Etobicoke North,Residential Multiple
1297,KINGSTON RD AT FALLINGBROOK RD,Scarborough Southwest,not_defined
1298,PAPE AVE AT CANNING AVE,Toronto-Danforth,Residential
1299,CARLTON ST AT SHERBOURNE ST,Toronto Centre,Open Space Recreation
1300,SENLAC RD AT LURGAN DR,Willowdale,Residential Detached
1301,QUEEN ST EAST AT PAPE AVE,Toronto-Danforth,Commercial Residential
1302,BATHURST ST AT FINCH AVE WEST SOUTH SIDE,York Centre,not_defined
1303,SHEPPARD AVE EAST AT LEONA DR,Willowdale,not_defined
1304,KINGSTON RD AT GLEN EVEREST RD EAST SIDE,Scarborough Southwest,Utility and Transportation
1305,OSSINGTON AVE AT DAVENPORT RD,Toronto-St. Paul's,Residential
1306,MAPLE LEAF DR AT STELLA ST,York South-Weston,Residential Detached
1307,EGLINTON AVE WEST AT JANE ST,York South-Weston,Open Space Golf Course
1308,KIPLING AVE AT NORSEMAN ST,Etobicoke-Lakeshore,Employment Industrial
1309,ROCKCLIFFE BLVD AT OUTLOOK AVE,York South-Weston,Residential Multiple
1310,QUEEN ST EAST AT VICTORIA ST (ST MICHAELS HOSPITAL),Toronto Centre,not_defined
1311,SHEPPARD AVE WEST AT BRENTWOOD AVE,Willowdale,not_defined
1312,KING ST EAST AT SHERBOURNE ST,Toronto Centre,Commercial Residential
1313,MCCOWAN RD AT OPPOSITE MILLIKEN WELLS PLAZA,Scarborough North,Residential Apartment
1314,BLOOR ST WEST AT RIVERSIDE DR (SOUTH) EAST SIDE,Parkdale-High Park,Commercial Residential
1315,BROADVIEW AVE AT DUNDAS ST EAST,Toronto-Danforth,not_defined
1316,CALEDONIA RD AT TYCOS DR,Eglinton-Lawrence,not_defined
1317,MARTIN GROVE RD AT FINCH AVE WEST SOUTH SIDE,Etobicoke North,not_defined
1318,VICTORIA PARK AVE AT FERNCREST GATE,Scarborough-Agincourt,Residential Detached
1319,DANFORTH AVE AT LEYTON AVE WEST SIDE,Scarborough Southwest,Institutional
1320,MCCOWAN RD AT MELDAZY DR (SOUTH),Scarborough Centre,Residential Detached
1321,ISLINGTON AVE AT HUMBER SUMMIT LANE,Humber River-Black Creek,Residential Multiple
1322,DRIFTWOOD AVE AT YEWTREE BLVD,Humber River-Black Creek,not_defined
1323,ISLINGTON AVE AT ORRELL AVE,Etobicoke Centre,Residential Detached
1324,STEELES AVE EAST AT LESLIE ST,Don Valley North,Residential Multiple
1325,OPPOSITE 120 MCLEVIN AVE,Scarborough North,Residential Semi-Detached
1326,DON MILLS RD AT THE DONWAY WEST (NORTH),Don Valley East,Residential Multiple
1327,JOHN GARLAND BLVD AT MOSQUE CRES (NORTH),Etobicoke North,not_defined
1328,VICTORIA PARK AVE AT ROWENA DR,Don Valley East,Residential Apartment
1329,PAPE AVE AT DANFORTH AVE,Toronto-Danforth,Commercial Residential
1330,GRENOBLE DR AT VENDOME PL WEST SIDE,Don Valley East,Residential Multiple
1331,KIPLING AVE AT KINGSVIEW BLVD,Etobicoke North,Residential Detached
1332,CASTLEMORE AVE AT THE BRIDLE WALK,outside_wards,not_defined
1333,CALEDONIA RD AT KEITH AVE,Davenport,Residential Multiple
1334,ELMHURST DR AT ALBION RD,Etobicoke North,not_defined
1335,LAWRENCE AVE EAST AT MT PLEASANT RD,Don Valley West,Residential
1336,CALVINGTON DR AT LEXFIELD AVE,York Centre,Residential Detached
1337,BIRCHMOUNT RD AT CHALDEAN ST,Scarborough-Agincourt,Residential Detached
1338,MARKHAM RD AT ELLESMERE RD,Scarborough-Guildwood,not_defined
1339,BURNHAMTHORPE RD AT BOTFIELD AVE EAST SIDE,Etobicoke Centre,Residential Detached
1340,MIDDLEFIELD RD AT MCNICOLL AVE,Scarborough North,not_defined
1341,CHAPLIN CRES AT DUPLEX AVE,Toronto-St. Paul's,Utility and Transportation
1342,BATHURST ST AT MELROSE AVE,Eglinton-Lawrence,Commercial Residential
1343,HORNER AVE AT TUPPER AVE WEST SIDE,Etobicoke-Lakeshore,Employment Industrial
1344,LAWSON RD AT MEADOWVALE RD,Scarborough-Rouge Park,Residential Detached
1345,MORNINGSIDE AVE AT MILITARY TRAIL,Scarborough-Guildwood,not_defined
1346,ELLESMERE RD AT KENNEDY RD,Scarborough Centre,not_defined
1347,KINGSTON RD AT BEECHGROVE DR,Scarborough-Rouge Park,not_defined
1348,GUILDWOOD PKWY AT PRINCE PHILLIP BLVD EAST SIDE,Scarborough-Guildwood,not_defined
1349,MARKHAM RD AT COUGAR CRT,Scarborough-Guildwood,Residential Apartment Commercial
1350,DUNDAS ST WEST AT PAULART DR EAST SIDE,Etobicoke-Lakeshore,not_defined
1351,KENNEDY RD AT FLORA DR,Scarborough Centre,not_defined
1352,WESTHUMBER BLVD AT KIPLING AVE,Etobicoke North,Residential Detached
1353,MIDLAND AVE AT MONTGOMERY AVE,Scarborough North,Residential Detached
1354,O'CONNOR DR AT TAYLOR DR,Beaches-East York,Residential Detached
1355,WASDALE CRES AT NEPTUNE DR,Eglinton-Lawrence,Residential Multiple
1356,BAYVIEW AVE AT MOORE AVE,Don Valley West,not_defined
1357,BRECKON GATE AT SHEPPARD AVE EAST,Scarborough-Rouge Park,Residential Multiple
1358,DANFORTH RD AT WETHERBY DR,Scarborough Centre,Residential Detached
1359,YORK MILLS RD AT OLD YORK MILLS RD,Don Valley West,Residential Apartment
1360,SHEPPARD AVE EAST AT MARKHAM RD,Scarborough North,not_defined
1361,DAVENPORT RD AT CHRISTIE ST,Toronto-St. Paul's,Residential
1362,RENFORTH DR AT CONVAIR DR,outside_wards,not_defined
1363,OPPOSITE 130 BELLAMY RD NORTH,Scarborough Centre,Residential Apartment
1364,SHEPPARD AVE EAST AT ABBOTSFIELD GATE,Scarborough-Agincourt,Residential Detached
1365,OPPOSITE 327 DIXON RD,Etobicoke North,Open Space Recreation
1366,BATHURST ST AT FINCH AVE WEST,Willowdale,Commercial Residential
1367,YONGE ST AT YORK MILLS RD NORTH SIDE (YORK MILLS STATION),Don Valley West,Commercial Residential
1368,BETH NEALSON DR AT WICKSTEED AVE,Don Valley West,Employment Industrial
1369,THISTLE DOWN BLVD AT ALBION RD,Etobicoke North,not_defined
1370,BLOOR ST WEST AT RIVERSIDE DR (NORTH),Parkdale-High Park,not_defined
1371,DONLANDS AVE AT GLEBEHOLME BLVD,Toronto-Danforth,Residential
1372,WILLIAMSON RD AT SOUTHWOOD DR,Beaches-East York,Residential
1373,SHEPPARD AVE WEST AT CHESSWOOD DR,York Centre,not_defined
1374,BROOKLAWN AVE AT BARKDENE HILLS,Scarborough Southwest,Open Space
1375,YONGE ST AT RICHMOND ST EAST,Toronto Centre,Commercial Residential
1376,ORIOLE PKWY AT GORMLEY AVE,Toronto-St. Paul's,Residential Detached
1377,MT PLEASANT RD AT MT PLEASANT CEMETERY,Toronto-St. Paul's,Open Space Cemetery
1378,LAWRENCE AVE EAST AT MILDENHALL RD,Don Valley West,Residential Detached
1379,MT PLEASANT RD AT TEDDINGTON PARK AVE,Don Valley West,Residential Detached
1380,ST REGIS CRES AT KEELE ST EAST SIDE,York Centre,not_defined
1381,KIPLING AVE AT WESTWAY,Etobicoke Centre,Residential Detached
1382,DANFORTH AVE AT PAPE AVE,Toronto-Danforth,Commercial Residential
1383,FINCH AVE EAST AT SANDHURST CIR (EAST),Scarborough North,Residential Multiple
1384,WESTON RD AT KENHAR DR SOUTH SIDE,Humber River-Black Creek,Employment Heavy Industrial
1385,550 OAKDALE RD,Humber River-Black Creek,Employment Industrial
1386,HORNER AVE AT BELVIA RD,Etobicoke-Lakeshore,Employment Industrial
1387,2155 LAKE SHORE BLVD WEST,Etobicoke-Lakeshore,not_defined
1388,BIRCHMOUNT RD AT HIGHWAY 401 (WALKWAY NORTH OF ROLARK),Scarborough Centre,Employment Industrial
1389,MIDLAND AVE AT ARTILLERY ST,Scarborough North,Residential Detached
1390,YONGE BLVD AT FELBRIGG AVE,Eglinton-Lawrence,Residential Detached
1391,MIDLAND AVE AT AYLESWORTH AVE NORTH SIDE,Scarborough Southwest,not_defined
1392,BERRY RD AT CLOVERHILL RD,Etobicoke-Lakeshore,Residential Apartment
1393,ISLINGTON AVE AT VANHILL AVE,Humber River-Black Creek,Commercial Residential
1394,SHEPPARD AVE EAST AT VICTORIA PARK AVE,Don Valley North,not_defined
1395,DAWES RD AT GOWER ST NORTH SIDE,Beaches-East York,Residential Townhouse
1396,JONES AVE AT BOULTBEE AVE,Toronto-Danforth,Residential
1397,MACDONELL AVE AT QUEEN ST WEST NORTH SIDE,Parkdale-High Park,Commercial Residential
1398,CALEDONIA RD AT BRIDGELAND AVE,Eglinton-Lawrence,not_defined
1399,DAVISVILLE AVE AT MT PLEASANT RD,Toronto-St. Paul's,Commercial Residential
1400,ST CLAIR AVE WEST AT GLENHOLME AVE,Davenport,not_defined
1401,MAIN ST AT BENLAMOND AVE,Beaches-East York,Residential
1402,HUNTINGWOOD DR AT MIDLAND AVE WEST SIDE,Scarborough-Agincourt,Residential Detached
1403,HIGH PARK AVE AT ANNETTE ST,Parkdale-High Park,Residential
1404,43 DREWRY AVE,Willowdale,not_defined
1405,BLOOR ST WEST AT RIVERVIEW GARDENS,Parkdale-High Park,not_defined
1406,BIRCHMOUNT RD AT BONNIEWOOD RD,Scarborough Southwest,Residential Semi-Detached
1407,BIRCHMOUNT RD AT ALLANFORD RD,Scarborough-Agincourt,Residential Detached
1408,PHARMACY AVE AT SHERWOOD AVE,Scarborough Centre,Residential Detached
1409,SHEPPARD AVE EAST AT ARAGON AVE,Scarborough-Agincourt,not_defined
1410,QUEEN ST WEST AT UNIVERSITY AVE (OSGOODE STATION),Spadina-Fort York,not_defined
1411,EGLINTON AVE WEST AT HILLTOP RD,Eglinton-Lawrence,Commercial Residential
1412,CALEDONIA RD AT GLENCAIRN AVE,Eglinton-Lawrence,Employment Light Industrial
1413,777 KIPLING AVE,Etobicoke-Lakeshore,Employment Industrial
1414,72 FIFESHIRE RD,Don Valley West,Residential Detached
1415,ROYAL YORK RD AT NEWCASTLE ST,Etobicoke-Lakeshore,Residential Townhouse
1416,SHEPPARD AVE EAST AT VANDORF ST,Scarborough-Rouge Park,Residential Detached
1417,OAKWOOD AVE AT VAUGHAN RD,Toronto-St. Paul's,Commercial Residential
1418,VICTORIA PARK AVE AT O'CONNOR DR SOUTH SIDE,Don Valley East,Commercial Residential
1419,SPADINA AVE AT SULLIVAN ST,Spadina-Fort York,Commercial Residential
1420,DUNDAS ST WEST AT BROCK AVE,Davenport,Commercial Residential
1421,MORNINGSIDE AVE AT WALKWAY TO MCKNIGHT DR,Scarborough-Rouge Park,Residential Semi-Detached
1422,NEPTUNE DR AT RAJAH ST,Eglinton-Lawrence,Residential Multiple
1423,KIPLING AVE AT NEW TORONTO ST SOUTH SIDE,Etobicoke-Lakeshore,not_defined
1424,LAMBTON AVE AT WESTON RD,York South-Weston,Residential Multiple
1425,EGLINTON AVE WEST AT RENFORTH DR EAST SIDE,Etobicoke Centre,not_defined
1426,DAVENPORT RD AT AVENUE RD WEST SIDE,University-Rosedale,Commercial Residential
1427,PARLIAMENT ST AT WELLESLEY ST EAST NORTH SIDE,Toronto Centre,Residential
1428,PARK LANE CIR AT LAWRENCE AVE EAST,Don Valley West,Residential Detached
1429,DIXON RD AT ISLINGTON AVE,Etobicoke North,Residential Apartment Commercial
1430,PHARMACY AVE AT CHESTER LE BLVD (SOUTH),Scarborough-Agincourt,Residential Multiple
1431,CHERRY BEACH LOOP,Toronto-Danforth,not_defined
1432,DUNDAS ST WEST AT INDIAN GROVE,Parkdale-High Park,Commercial Residential
1433,ISLINGTON AVE AT ALBION RD,Etobicoke North,Commercial Residential
1434,MARKHAM RD AT ROBINSON ST,outside_wards,not_defined
1435,MIDDLEFIELD RD AT STEELES AVE EAST,Scarborough North,not_defined
1436,MARKHAM RD AT EGLINTON AVE EAST,Scarborough-Guildwood,not_defined
1437,TORONTO SOUTH DETENTION CENTRE,Etobicoke-Lakeshore,Employment Industrial
1438,JANE ST AT FRITH RD,Humber River-Black Creek,Residential Apartment
1439,MOORE PARK AVE AT FARGO AVE,Willowdale,Residential Detached
1440,ST CLAIR AVE WEST AT NORTHCLIFFE BLVD,Davenport,not_defined
1441,QUEENS QUAY WEST AT LOWER SPADINA AVE EAST SIDE,Spadina-Fort York,not_defined
1442,LAMBTON AVE AT CASHMAN CRES (EAST),York South-Weston,Residential Multiple
1443,YONGE ST AT ELLERSLIE AVE,Willowdale,not_defined
1444,QUEENS QUAY WEST AT LOWER SPADINA AVE WEST SIDE,Spadina-Fort York,not_defined
1445,ORIOLE PKWY AT HILLSDALE AVE WEST,Toronto-St. Paul's,Residential Detached
1446,BIRCHMOUNT RD AT PINE GROVE AVE,Scarborough Southwest,Residential Detached
1447,MORNINGSIDE AVE AT MCLEVIN AVE,Scarborough-Rouge Park,Residential Semi-Detached
1448,WESTON RD AT GARYRAY DR,Humber River-Black Creek,Employment Heavy Industrial
1449,MIDLAND AVE AT TREEWOOD ST,Scarborough Centre,Residential Multiple
1450,REXDALE BLVD AT PRECISION RD,Etobicoke North,Utility and Transportation
1451,SHEPPARD AVE EAST AT AMBROSE RD,Don Valley North,Open Space
1452,QUEEN ST WEST AT DUNN AVE,Parkdale-High Park,Commercial Residential
1453,ANTIBES DR (NORTH) AT PLUM TREEWAY (SOUTH) NORTH SIDE,York Centre,Residential Apartment Commercial
1454,MORNINGSIDE AVE AT SEWELLS RD,Scarborough-Rouge Park,Residential Townhouse
1455,GLENCAIRN AVE AT CALEDONIA RD EAST SIDE,Eglinton-Lawrence,Residential Detached
1456,QUEEN ST WEST AT SHAW ST,Spadina-Fort York,not_defined
1457,PROGRESS AVE AT SHEPPARD AVE EAST,Scarborough North,not_defined
1458,CARNFORTH RD AT LAWRENCE AVE EAST,Don Valley East,Residential Apartment Commercial
1459,LAWRENCE AVE WEST AT WESTON RD WEST SIDE,York South-Weston,not_defined
1460,STEELES AVE EAST AT WOODBINE AVE,outside_wards,not_defined
1461,HUNTINGWOOD DR AT DIBGATE BLVD,Scarborough North,Residential Semi-Detached
1462,LITTLES RD AT BIRRELL AVE,Scarborough-Rouge Park,Residential Detached
1463,PARK ST AT CLAREMORE AVE,Scarborough Southwest,Residential Detached
1464,RENFORTH DR AT EGLINTON AVE WEST SOUTH SIDE,Etobicoke Centre,Open Space Recreation
1465,NEILSON RD AT SILVERBELL GROVE,Scarborough-Rouge Park,Residential Multiple
1466,LAWRENCE AVE EAST AT CEDARBRAE MALL,Scarborough-Guildwood,Commercial Residential
1467,OAKWOOD AVE AT EGLINTON AVE WEST,Toronto-St. Paul's,Residential Multiple
1468,JANE ST AT PAGE AVE,Parkdale-High Park,not_defined
1469,LESLIE ST AT THORNY VINEWAY,Don Valley North,Residential Detached
1470,OSSINGTON AVE AT DUNDAS ST WEST NORTH SIDE,University-Rosedale,Commercial Residential
1471,LAKE SHORE BLVD WEST AT SUPERIOR AVE,Etobicoke-Lakeshore,not_defined
1472,ELLESMERE RD AT OAKLEY BLVD EAST SIDE,Scarborough Centre,Commercial Residential
1473,DUPONT ST AT MANNING AVE EAST SIDE,University-Rosedale,Residential
1474,BRIAN AVE AT MARGARET AVE,Don Valley North,not_defined
1475,REXDALE BLVD AT BRYDON DR,Etobicoke North,Employment Industrial
1476,6900 AIRPORT RD (INTERNATIONAL CENTRE - NORTH ENTRANCE),outside_wards,not_defined
1477,MCLEVIN AVE AT EMPRINGHAM DR EAST SIDE,Scarborough-Rouge Park,Residential Multiple
1478,BIRCHMOUNT RD AT EGLINTON AVE EAST,Scarborough Southwest,not_defined
1479,LAWRENCE AVE EAST AT WANLESS CRES (WEST),Don Valley West,Residential
1480,BATHURST ST AT TICHESTER RD SOUTH SIDE,Toronto-St. Paul's,Residential Multiple
1481,SHEFFIELD ST AT DENSLEY AVE SOUTH SIDE,York South-Weston,Employment Industrial
1482,22 STEINWAY BLVD,Etobicoke North,Employment Industrial
1483,BAYVIEW AVE AT YORK MILLS RD,Don Valley West,Commercial Residential
1484,UNDERHILL DR AT BROOKBANKS DR,Don Valley East,Residential Detached
1485,1792 BIRCHMOUNT RD,Scarborough Centre,not_defined
1486,LAKE SHORE BLVD WEST AT MIMICO AVE,Etobicoke-Lakeshore,Open Space Recreation
1487,SENLAC RD AT PARK HOME AVE SOUTH SIDE,Willowdale,Residential Detached
1488,DUNDAS ST WEST AT BROCK AVE,Davenport,Commercial Residential
1489,ORTON PARK RD AT LADYSBRIDGE DR (NORTH),Scarborough-Guildwood,Residential Detached
1490,RATHBURN RD AT MARTIN GROVE RD,Etobicoke Centre,Residential Detached
1491,JOHN GARLAND BLVD AT JAMESTOWN CRES (WEST),Etobicoke North,not_defined
1492,MEADOWVALE RD AT LAVERY TRAIL,Scarborough-Rouge Park,not_defined
1493,BATHURST ST AT DUNDAS ST WEST (TORONTO WESTERN HOSPITAL),University-Rosedale,Commercial Residential
1494,SCARLETT RD AT EAST DR,York South-Weston,Residential Apartment
1495,MARLEE AVE AT LAWRENCE AVE WEST,Eglinton-Lawrence,Commercial Residential
1496,DIXON RD AT DIXINGTON CRES EAST SIDE,Etobicoke Centre,Residential Multiple
1497,LANSDOWNE AVE AT PATON RD,Davenport,Residential
1498,WILLOWDALE AVE AT NORTHWOOD DR,Willowdale,Residential Detached
1499,ST CLAIR AVE WEST AT DEER PARK CRES EAST SIDE,Toronto-St. Paul's,Commercial Residential
1500,GERRARD ST EAST AT OSBORNE AVE,Beaches-East York,Residential
1501,GRANDRAVINE DR AT SENTINEL RD,Humber River-Black Creek,Residential Multiple
1502,LANSDOWNE AVE AT BRANDON AVE NORTH SIDE,Davenport,Residential
1503,KIPLING AVE AT REXDALE BLVD,Etobicoke North,Employment Industrial
1504,ST CLAIR AVE EAST AT INGLEWOOD DR EAST SIDE,University-Rosedale,Residential
1505,PRINCE EDWARD DR AT BERRY RD,Etobicoke-Lakeshore,Residential Detached
1506,WELLESWORTH DR AT DIXFIELD DR (NORTH),Etobicoke Centre,not_defined
1507,OSSINGTON AVE AT DUPONT ST,Davenport,Employment Industrial
1508,KIPLING AVE AT DIXON RD,Etobicoke North,Residential Apartment
1509,OPPOSITE 840 TANDRIDGE CRES,Etobicoke North,not_defined
1510,BAY ST AT GERRARD ST WEST,University-Rosedale,Commercial Residential
1511,GENTIAN DR AT RENFORTH DR,Etobicoke Centre,Residential Detached
1512,STEEPROCK DR AT CHESSWOOD DR EAST SIDE,York Centre,Employment Heavy Industrial
1513,BRIMLEY RD AT BRITWELL AVE,Scarborough Centre,not_defined
1514,MIDLAND AVE AT ROMULUS DR,Scarborough Centre,Open Space Natural
1515,WILSON AVE AT CLYDE AVE,Eglinton-Lawrence,Residential Multiple
1516,PHARMACY AVE AT BEVERLY GLEN BLVD,Scarborough-Agincourt,Residential Detached
1517,EGLINTON AVE EAST AT FALCON ST WEST SIDE,Don Valley West,Residential
1518,WESTON RD AT FERN AVE,York South-Weston,Residential Detached
1519,COLLEGE ST AT OSSINGTON AVE,Davenport,Commercial Residential
1520,FINCH AVE WEST AT WESTMORE DR,Etobicoke North,Residential Townhouse
1521,AVENUE RD AT DOUGLAS AVE,Eglinton-Lawrence,Commercial Residential
1522,KING ST WEST AT SUDBURY ST,Spadina-Fort York,not_defined
1523,MIDDLEFIELD RD AT SELECT AVE,Scarborough North,Employment Industrial
1524,STAINES RD AT SEASONS DR SOUTH SIDE,Scarborough North,Residential Multiple
1525,WARDEN AVE AT MANHATTAN DR,Scarborough Centre,Residential Detached
1526,MAIN ST AT LYALL AVE NORTH SIDE,Beaches-East York,Residential
1527,YONGE ST AT FAIRLAWN AVE,Eglinton-Lawrence,Commercial Residential
1528,BELLAMY RD NORTH AT BRAEBURN BLVD SOUTH SIDE,Scarborough Centre,Residential Detached
1529,BERGAMOT AVE AT REXDALE BLVD NORTH SIDE,Etobicoke North,not_defined
1530,88 PARK LAWN RD,Etobicoke-Lakeshore,not_defined
1531,PROGRESS AVE AT BELLAMY RD NORTH EAST SIDE,Scarborough-Guildwood,Employment Industrial
1532,SHEPPARD AVE EAST AT HAVENVIEW RD,Scarborough North,Residential Semi-Detached
1533,HORNER AVE AT THIRTIETH ST,Etobicoke-Lakeshore,Employment Industrial
1534,WILMINGTON AVE AT SHEPPARD AVE WEST NORTH SIDE,York Centre,Commercial Residential
1535,QUEEN ST WEST AT BAY ST,Toronto Centre,not_defined
1536,ELLESMERE RD AT BOROUGH APPROACH EAST,Scarborough Centre,Residential Detached
1537,LAWSON RD AT CLYDE RD,Scarborough-Rouge Park,Residential Detached
1538,DUNDAS ST WEST AT SORAUREN AVE,Parkdale-High Park,Open Space Recreation
1539,SENLAC RD AT FINCH AVE WEST,Willowdale,Residential Detached
1540,DANFORTH AVE AT PHARMACY AVE,Scarborough Southwest,Commercial Residential
1541,WESTON RD AT JANE ST,York South-Weston,Commercial Residential
1542,DUFFERIN ST AT CASTLEFIELD AVE,Eglinton-Lawrence,not_defined
1543,SIGNAL HILL AVE AT STEELES AVE WEST,Etobicoke North,not_defined
1544,BRIMLEY RD AT DANFORTH RD,Scarborough Southwest,Residential Apartment
1545,FINCH AVE WEST AT ARDWICK BLVD (WEST),Humber River-Black Creek,Residential Apartment
1546,STEELES AVE WEST AT ADESSO DR,outside_wards,not_defined
1547,MORNINGSIDE AVE AT MILITARY TRAIL,Scarborough-Rouge Park,not_defined
1548,YORK MILLS RD AT CEDARWOOD AVE WEST SIDE,Don Valley West,Residential Detached
1549,INDUSTRY ST AT BERTAL RD SOUTH SIDE,York South-Weston,Employment Heavy Industrial
1550,SHEPPARD AVE EAST AT YONGE ST EAST SIDE,Willowdale,not_defined
1551,NORFINCH DR AT FINCH AVE WEST NORTH SIDE,Humber River-Black Creek,Residential Apartment
1552,ISLINGTON AVE AT BERGAMOT AVE,Etobicoke North,Commercial Residential
1553,580 RATHBURN RD (SENECA SCHOOL),Etobicoke Centre,not_defined
1554,DUNDAS ST WEST AT BAY ST,University-Rosedale,not_defined
1555,MCCOWAN RD AT HORFIELD AVE,Scarborough Southwest,Residential Detached
1556,VARSITY RD AT DORAN AVE,Parkdale-High Park,Residential Semi-Detached
1557,PROGRESS AVE AT ESTATE DR (EAST SIDE),Scarborough-Guildwood,not_defined
1558,MIDLAND AVE AT SHEPPARD AVE EAST,Scarborough-Agincourt,Commercial Residential
1559,EASTERN AVE AT MINTO ST (POST OFFICE) EAST SIDE,Toronto-Danforth,Employment Industrial
1560,GERRARD ST EAST AT RATHMORE AVE WEST SIDE,Scarborough Southwest,Open Space Recreation
1561,BAYVIEW AVE AT BURLEIGH HEIGHTS DR NORTH SIDE,Don Valley North,Residential Detached
1562,KEELE ST AT DUNDAS ST WEST,Parkdale-High Park,Commercial Residential
1563,300 DANFORTH RD,Scarborough Southwest,not_defined
1564,PHARMACY AVE AT ROSITA CRES NORTH SIDE,Scarborough Southwest,Residential Detached
1565,BIRCHMOUNT RD AT KINGSTON RD,Scarborough Southwest,not_defined
1566,LESLIE ST AT FRANCINE DR SOUTH SIDE,Don Valley North,not_defined
1567,PHARMACY AVE AT ARNALL AVE,Scarborough-Agincourt,Residential Detached
1568,TUSCAN GATE AT SHEPPARD AVE WEST,York Centre,not_defined
1569,OPPOSITE 950 DIXON RD,Etobicoke North,Employment Industrial
1570,WESTON RD AT SUNSET TRAIL,Humber River-Black Creek,Residential Detached
1571,KIPLING AVE AT HORNER AVE,Etobicoke-Lakeshore,Employment Industrial
1572,WARDEN AVE AT DANFORTH AVE,Scarborough Southwest,Commercial Residential
1573,RANEE AVE AT MIKADO AVE,Eglinton-Lawrence,Residential Detached
1574,MCCOWAN RD AT HIGHWAY 401,Scarborough North,Utility and Transportation
1575,VICTORIA PARK AVE AT FARM GREENWAY,Don Valley East,Residential Townhouse
1576,MCCOWAN RD AT NUGGET AVE,Scarborough North,not_defined
1577,FINCH AVE EAST AT LONGMORE ST,Willowdale,not_defined
