,stop_name,Ward_name,zone_type
76,3174 BATHURST ST,Eglinton-Lawrence,Residential Apartment
77,BATHURST ST AT ELM RIDGE DR,Eglinton-Lawrence,Residential
78,BATHURST ST AT GLENCAIRN AVE,Eglinton-Lawrence,not_defined
79,BATHURST ST AT ST CLAIR AVE WEST,Toronto-St. Paul's,Commercial Residential
80,BATHURST ST AT STEELES AVE WEST,Willowdale,Commercial Residential
81,BAYCREST HOME FOR AGED,Eglinton-Lawrence,Institutional Hospital
82,WAGMAN CENTRE,Eglinton-Lawrence,Institutional Hospital
83,BAYVIEW AVE AT VALLYANNA DR,Don Valley West,not_defined
84,BELFIELD RD AT BROCKPORT DR WEST SIDE,Etobicoke North,not_defined
85,BELFIELD RD AT BROCKPORT DR,Etobicoke North,Employment Industrial
86,BERRY RD AT PARK LAWN RD,Etobicoke-Lakeshore,Residential Detached
87,BIRCHMOUNT RD AT FINCH AVE EAST,Scarborough-Agincourt,Commercial Residential
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,Scarborough Southwest,Employment Industrial
89,BIRCHMOUNT RD AT HIGHVIEW AVE,Scarborough Southwest,Residential Detached
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,Scarborough-Agincourt,Residential Detached
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Etobicoke-Lakeshore,not_defined
92,BLOOR ST WEST AT ISLINGTON AVE,Etobicoke-Lakeshore,not_defined
93,BLOOR ST WEST AT JANE ST,Parkdale-High Park,Commercial Residential
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Don Valley West,Employment Light Industrial
95,BROADVIEW AVE AT ERINDALE AVE,Toronto-Danforth,not_defined
96,CHURCH ST AT UPHILL AVE,York South-Weston,Residential Detached
97,CORDOVA AVE AT DUNDAS ST WEST,Etobicoke-Lakeshore,not_defined
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),Toronto-Danforth,not_defined
99,COXWELL AVE AT PLAINS RD,Toronto-Danforth,Commercial Residential
100,3450 DANFORTH AVE,Scarborough Southwest,Commercial Residential
101,DANFORTH AVE AT MAIN ST,Beaches-East York,Commercial Residential
102,KEELE ST AT KEELEGATE DR,York Centre,Commercial Local
103,KEELE ST AT ST CLAIR AVE WEST,York South-Weston,not_defined
104,KEELE ST AT ST CLAIR AVE WEST,York South-Weston,not_defined
105,KEELE ST AT TORO RD,Humber River-Black Creek,Residential Detached
106,KEELE ST AT WILSON AVE NORTH SIDE,York Centre,Open Space
107,WILSON AVE AT KEELE ST NORTH SIDE,York Centre,not_defined
108,KENNEDY RD AT PROGRESS AVE,Scarborough Centre,not_defined
109,KING ST WEST AT SHAW ST EAST SIDE,Spadina-Fort York,Commercial Residential
110,KING ST WEST AT STRACHAN AVE,Spadina-Fort York,Commercial Residential
111,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Etobicoke North,Utility and Transportation
112,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,Etobicoke-Lakeshore,not_defined
113,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,Davenport,not_defined
114,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,Davenport,not_defined
115,LANSDOWNE AVE AT ST CLAIR AVE WEST,Davenport,not_defined
116,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,Scarborough-Rouge Park,Residential Apartment
117,LAWRENCE AVE EAST AT ORTON PARK RD,Scarborough-Guildwood,Residential Apartment Commercial
118,LAWRENCE AVE WEST AT CULFORD RD,York South-Weston,Residential Apartment
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,Etobicoke Centre,Residential Detached
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,Eglinton-Lawrence,not_defined
121,LAWRENCE AVE WEST AT WESTON RD,York South-Weston,not_defined
122,LAWRENCE PLAZA AT CANADA TRUST,Eglinton-Lawrence,Commercial Residential
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,Eglinton-Lawrence,Commercial Residential
124,LESLIE ST AT EASTERN AVE,Toronto-Danforth,Residential
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Don Valley East,not_defined
126,LESLIE ST AT LAWRENCE AVE EAST,Don Valley East,Residential Multiple
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,Toronto-Danforth,Residential
128,LONSDALE RD AT AVENUE RD EAST SIDE,Toronto-St. Paul's,Residential
129,EXHIBITION LOOP AT MANITOBA DR,Spadina-Fort York,not_defined
130,EXHIBITION LOOP,Spadina-Fort York,not_defined
131,TORONTO ZOO,Scarborough-Rouge Park,Open Space Recreation
132,TORONTO ZOO,Scarborough-Rouge Park,Open Space Recreation
133,TORONTO ZOO,Scarborough-Rouge Park,Open Space Recreation
134,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,Scarborough-Rouge Park,not_defined
135,HUMBER LOOP AT THE QUEENSWAY,Etobicoke-Lakeshore,Utility and Transportation
136,HUMBER LOOP AT THE QUEENSWAY,Etobicoke-Lakeshore,Utility and Transportation
137,EARLSCOURT LOOP AT ST CLAIR AVE WEST,Davenport,not_defined
138,LONG BRANCH LOOP,Etobicoke-Lakeshore,not_defined
139,QUEENS QUAY LOOP AT LOWER SPADINA AVE,Spadina-Fort York,not_defined
140,WESTWOOD SQUARE BUS TERMINAL AT MORNING STAR DR,outside_wards,not_defined
141,LUMSDEN AVE AT WESTLAKE AVE,Beaches-East York,Residential Detached
142,PROGRESS AVE AT MARKHAM RD EAST SIDE,Scarborough-Guildwood,Open Space Natural
143,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,Parkdale-High Park,not_defined
144,QUEEN ST EAST AT KINGSTON RD,Beaches-East York,not_defined
145,QUEEN ST EAST AT KINGSTON RD,Beaches-East York,not_defined
146,QUEEN ST WEST AT SHAW ST,Spadina-Fort York,not_defined
147,QUEEN'S PARK CRES WEST AT HOSKIN AVE,University-Rosedale,not_defined
148,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,University-Rosedale,not_defined
149,THE QUEENSWAY AT MORGAN AVE,Etobicoke-Lakeshore,not_defined
150,THE QUEENSWAY AT STEPHEN DR,Etobicoke-Lakeshore,not_defined
151,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,Parkdale-High Park,not_defined
152,55 RANKIN AVE,Davenport,Commercial Residential
153,RATHBURN RD AT LLOYD MANOR RD,Etobicoke Centre,Residential Detached
154,RENFORTH DR AT EGLINTON AVE WEST,Etobicoke Centre,not_defined
155,ROGERS RD AT KEELE ST,York South-Weston,Commercial Residential
156,ROYAL YORK RD AT DIXON RD,Etobicoke Centre,Residential Detached
157,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,Etobicoke Centre,Residential Detached
158,SENTINEL RD AT FINCH AVE WEST,Humber River-Black Creek,not_defined
159,SENTINEL RD AT THE POND RD,Humber River-Black Creek,not_defined
160,SEWELLS RD AT BRENYON WAY EAST SIDE,Scarborough-Rouge Park,Residential Apartment
161,SEWELLS RD AT BRENYON WAY,Scarborough-Rouge Park,not_defined
162,SEWELLS RD AT MCLEVIN AVE,Scarborough-Rouge Park,Residential Multiple
163,SHEPPARD AVE EAST AT COMMONS DR,Scarborough-Agincourt,Residential Detached
164,SHEPPARD AVE EAST AT COMMONS DR,Scarborough-Agincourt,Residential Detached
165,SHEPPARD AVE EAST AT MEADOWVALE RD,Scarborough-Rouge Park,not_defined
166,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,Scarborough-Agincourt,not_defined
167,SHEPPARD AVE WEST AT JANE ST EAST SIDE,York Centre,Commercial Residential
168,SHEPPARD AVE WEST AT SENTINEL RD,York Centre,Residential Townhouse
169,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,York Centre,not_defined
170,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Etobicoke-Lakeshore,not_defined
171,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,Etobicoke-Lakeshore,not_defined
172,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),Etobicoke-Lakeshore,not_defined
173,SHERWAY GARDENS RD AT SHERWAY GATE MALL),Etobicoke-Lakeshore,not_defined
174,MAIN ST AT DANFORTH AVE,Beaches-East York,not_defined
175,MAIN ST AT DANFORTH AVE,Beaches-East York,not_defined
176,MAIN ST AT DONCASTER AVE,Beaches-East York,Residential Townhouse
177,MAIN ST AT GERRARD ST EAST,Beaches-East York,Commercial Residential
178,MAIN ST AT GERRARD ST EAST,Beaches-East York,Commercial Residential
179,MARKHAM RD AT PASSMORE AVE NORTH SIDE,Scarborough North,not_defined
180,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,Etobicoke North,Institutional Place of Worship
181,MARTIN GROVE RD AT JOHN GARLAND BLVD,Etobicoke North,not_defined
182,MARTIN GROVE RD AT MERCURY RD,Etobicoke North,Residential Detached
183,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,Etobicoke North,Residential Detached
184,2061 MCCOWAN RD,Scarborough North,not_defined
185,MCCOWAN RD AT BUSHBY DR NORTH SIDE,Scarborough-Guildwood,not_defined
186,MCCOWAN RD AT ELSON ST,outside_wards,not_defined
187,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,outside_wards,not_defined
188,MCCOWAN RD AT STEELES AVE EAST SOUTH SIDE,Scarborough North,Residential Detached
189,MCCOWAN RD AT TOWN CENTRE CRT,Scarborough Centre,not_defined
190,1020 MCNICOLL AVE,Scarborough-Agincourt,not_defined
191,MCNICOLL AVE AT SILVER SPRINGS BLVD,Scarborough-Agincourt,Open Space Natural
192,MCNICOLL AVE AT SILVER SPRINGS BLVD,Scarborough-Agincourt,not_defined
193,MCNICOLL AVE AT VICTORIA PARK AVE,Don Valley North,not_defined
194,MEADOWVALE RD AT SHEPPARD AVE EAST,Scarborough-Rouge Park,Residential Multiple
195,MILITARY TRAIL AT MORNINGSIDE AVE,Scarborough-Rouge Park,not_defined
196,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,Don Valley West,Employment Industrial Office
197,MILLWOOD RD AT OVERLEA BLVD,Don Valley West,not_defined
198,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,Scarborough-Rouge Park,Employment Industrial
199,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,Scarborough-Rouge Park,Residential Semi-Detached
200,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,Scarborough-Rouge Park,Residential Townhouse
201,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,Scarborough North,Residential Townhouse
202,MORNING STAR DR AT CATALPA RD,outside_wards,not_defined
203,MORNING STAR DR AT CATALPA RD,outside_wards,not_defined
204,MORNING STAR DR AT AIRPORT RD EAST SIDE,outside_wards,not_defined
205,MORNING STAR DR AT LANCASTER AVE,outside_wards,not_defined
206,MORNING STAR DR AT MANION RD,outside_wards,not_defined
207,MORNING STAR DR AT REINDEER DR WEST SIDE,outside_wards,not_defined
208,MORNING STAR DR AT REINDEER DR,outside_wards,not_defined
209,MORTIMER AVE AT COXWELL AVE WEST SIDE (MICHAEL GARRON HOSPITAL),Toronto-Danforth,not_defined
210,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Scarborough North,Residential Detached
211,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Scarborough North,Residential Detached
212,OAKWOOD AVE AT EGLINTON AVE WEST SOUTH SIDE,Toronto-St. Paul's,Commercial Residential
213,OAKWOOD AVE AT ROGERS RD,Toronto-St. Paul's,Commercial Residential
214,O'CONNOR DR AT PAPE AVE,Toronto-Danforth,Residential Detached
215,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,Davenport,not_defined
216,OLD WESTON RD AT ST CLAIR AVE WEST,Davenport,not_defined
217,OLD WESTON RD AT ST CLAIR AVE WEST,Davenport,not_defined
218,OSSINGTON AVE AT BLOOR ST WEST,University-Rosedale,Commercial Residential
219,OSSINGTON AVE AT BLOOR ST WEST,Davenport,Commercial Residential
220,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,Don Valley West,not_defined
221,OVERLEA BLVD AT MILLWOOD RD,Don Valley West,Employment Industrial Office
222,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),Don Valley West,Commercial Residential
223,PAPE AVE AT LIPTON AVE NORTH SIDE,Toronto-Danforth,Commercial Residential
224,PAPE AVE AT O'CONNOR DR NORTH SIDE,Toronto-Danforth,Residential Detached
225,PARLIAMENT ST AT CARLTON ST,Toronto Centre,Commercial Residential
