,stop_name,FTH_FAITH,dist
85,BELFIELD RD AT BROCKPORT DR,Christian,5233000.720263944
86,BERRY RD AT PARK LAWN RD,Christian,5233000.805886943
87,BIRCHMOUNT RD AT FINCH AVE EAST,Christian,5233000.698032871
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,Christian,5233000.804715955
89,BIRCHMOUNT RD AT HIGHVIEW AVE,Christian,5233000.804966628
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,Christian,5233000.674289853
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Christian,5233000.789629872
92,BLOOR ST WEST AT ISLINGTON AVE,Christian,5233000.789595792
93,BLOOR ST WEST AT JANE ST,Christian,5233000.795649033
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Christian,5233000.767632865
95,BROADVIEW AVE AT ERINDALE AVE,Christian,5233000.801660153
96,CHURCH ST AT UPHILL AVE,Christian,5233000.731921215
97,CORDOVA AVE AT DUNDAS ST WEST,Christian,5233000.784466556
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),Christian,5233000.797176218
99,COXWELL AVE AT PLAINS RD,Christian,5233000.791478582
100,3450 DANFORTH AVE,Christian,5233000.807511827
101,DANFORTH AVE AT MAIN ST,Christian,5233000.806167093
102,KEELE ST AT KEELEGATE DR,Christian,5233000.715234679
103,KEELE ST AT ST CLAIR AVE WEST,Christian,5233000.77793231
104,KEELE ST AT ST CLAIR AVE WEST,Christian,5233000.778161796
105,KEELE ST AT TORO RD,Christian,5233000.68727553
106,KEELE ST AT WILSON AVE NORTH SIDE,Christian,5233000.721056477
107,WILSON AVE AT KEELE ST NORTH SIDE,Christian,5233000.720943688
108,KENNEDY RD AT PROGRESS AVE,Christian,5233000.733240995
109,KING ST WEST AT SHAW ST EAST SIDE,Christian,5233000.821546808
110,KING ST WEST AT STRACHAN AVE,Christian,5233000.821721229
111,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Christian,5233000.721283704
112,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,Christian,5233000.788810584
113,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,Christian,5233000.784002953
114,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,Christian,5233000.8070943225
115,LANSDOWNE AVE AT ST CLAIR AVE WEST,Christian,5233000.778634344
116,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,Christian,5233000.761855701
117,LAWRENCE AVE EAST AT ORTON PARK RD,Christian,5233000.758568195
118,LAWRENCE AVE WEST AT CULFORD RD,Christian,5233000.739541177
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,Christian,5233000.738195052
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,Christian,5233000.741975525
121,LAWRENCE AVE WEST AT WESTON RD,Christian,5233000.738021788
122,LAWRENCE PLAZA AT CANADA TRUST,Christian,5233000.741390348
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,Christian,5233000.739587417
124,LESLIE ST AT EASTERN AVE,Christian,5233000.824484871
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Christian,5233000.724207436
126,LESLIE ST AT LAWRENCE AVE EAST,Christian,5233000.747534265
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,Christian,5233000.823401402
128,LONSDALE RD AT AVENUE RD EAST SIDE,Christian,5233000.777142214
129,EXHIBITION LOOP AT MANITOBA DR,Christian,5233000.82626356
130,EXHIBITION LOOP,Christian,5233000.826262169
131,TORONTO ZOO,Christian,5233000.711504443
132,TORONTO ZOO,Christian,5233000.711648665
133,TORONTO ZOO,Christian,5233000.71202555
134,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,Christian,5233000.762190483
135,HUMBER LOOP AT THE QUEENSWAY,Christian,5233000.814529293
136,HUMBER LOOP AT THE QUEENSWAY,Christian,5233000.814678306
137,EARLSCOURT LOOP AT ST CLAIR AVE WEST,Christian,5233000.778605195
138,LONG BRANCH LOOP,Christian,5233000.835040329
139,QUEENS QUAY LOOP AT LOWER SPADINA AVE,Christian,5233000.830460048
140,WESTWOOD SQUARE BUS TERMINAL AT MORNING STAR DR,Christian,5233000.68441514
141,LUMSDEN AVE AT WESTLAKE AVE,Christian,5233000.798483818
142,PROGRESS AVE AT MARKHAM RD EAST SIDE,Christian,5233000.733895469
143,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,Christian,5233000.822707502
144,QUEEN ST EAST AT KINGSTON RD,Christian,5233000.8236892745
145,QUEEN ST EAST AT KINGSTON RD,Christian,5233000.823617776
146,QUEEN ST WEST AT SHAW ST,Christian,5233000.817993463
147,QUEEN'S PARK CRES WEST AT HOSKIN AVE,Christian,5233000.803738737
148,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,Christian,5233000.804723446
149,THE QUEENSWAY AT MORGAN AVE,Christian,5233000.81300119
150,THE QUEENSWAY AT STEPHEN DR,Christian,5233000.813750007
151,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,Christian,5233000.8107715575
152,55 RANKIN AVE,Christian,5233000.796682882
153,RATHBURN RD AT LLOYD MANOR RD,Christian,5233000.769625295
