,stop_name,closest_station,dist
8560,WOODBINE STATION,WOODBINE STATION,0.0
8561,YORK MILLS STATION,YORK MILLS STATION,0.0
8562,YORK MILLS STATION,YORK MILLS STATION,0.0
8563,YORK MILLS STATION,YORK MILLS STATION,0.0
8564,YORK MILLS STATION,YORK MILLS STATION,0.0
8565,YORK MILLS STATION,YORK MILLS STATION,0.0
8566,YORK MILLS STATION,YORK MILLS STATION,0.0
8567,YORK MILLS STATION,YORK MILLS STATION,0.0
8568,YORK MILLS STATION,YORK MILLS STATION,0.0
8569,SPADINA STATION,SPADINA STATION,0.0
8570,MURRAY ROSS PKWY AT SENTINEL RD,FINCH WEST STATION - NORTHBOUND PLATFORM,0.009760295179965114
8571,WILLIAM R ALLEN RD AT RIMROCK RD,SHEPPARD AVE WEST AT DUFFERIN ST (SHEPPARD WEST STATION),0.007350172923135281
8572,WILLIAM R ALLEN RD AT RIMROCK RD,SHEPPARD AVE WEST AT DUFFERIN ST (SHEPPARD WEST STATION),0.007870329408605657
8573,DUFFERIN ST AT FINCH AVE WEST NORTH SIDE,SHEPPARD AVE WEST AT DUFFERIN ST (SHEPPARD WEST STATION),0.01954891137634206
8574,ALNESS ST AT BRISBANE RD NORTH SIDE,FINCH WEST STATION,0.01978780644740547
8575,ALNESS ST AT BRISBANE RD,FINCH WEST STATION,0.019613416454055847
8576,MARTIN ROSS AVE AT ALNESS ST WEST SIDE,FINCH WEST STATION,0.018915667500783096
8577,WILMINGTON AVE AT CAVOTTI CRES,OPPOSITE 1042 SHEPPARD AVE WEST- SHEPPARD WEST STATION,0.014542203753213186
8578,WILMINGTON AVE AT BLUE FOREST DR,OPPOSITE 1042 SHEPPARD AVE WEST- SHEPPARD WEST STATION,0.015852753609385963
8579,WILMINGTON AVE AT CEDAR SPRINGS GROVE (SOUTH),OPPOSITE 1042 SHEPPARD AVE WEST- SHEPPARD WEST STATION,0.017300985232062156
8580,WILMINGTON AVE AT CEDAR SPRINGS GROVE (SOUTH) NORTH SIDE,OPPOSITE 1042 SHEPPARD AVE WEST- SHEPPARD WEST STATION,0.019188197049225624
8581,MURRAY ROSS PKWY AT SENTINEL RD EAST SIDE,FINCH WEST STATION - NORTHBOUND PLATFORM,0.009165282810689736
8582,MURRAY ROSS PKWY AT EVELYN WIGGINS DR,FINCH WEST STATION,0.00322341511443943
8583,ST CLAIR STATION,ST CLAIR STATION,0.0
8584,WILSON STATION,WILSON STATION,0.0
8585,KEELE ST AT ROGERS RD,HIGH PARK STATION,0.028797935151671887
8586,WESTON RD AT AVON CRES,HIGH PARK STATION - WESTBOUND PLATFORM,0.028611568377139792
8587,ST CLAIR AVE WEST AT LANSDOWNE AVE EAST SIDE,LANSDOWNE AVE AT WADE AVE (LANSDOWNE STATION),0.018358257978362904
8588,ST CLAIR AVE WEST AT EARLSCOURT AVE EAST SIDE,LANSDOWNE AVE AT WADE AVE (LANSDOWNE STATION),0.01810045325399497
8589,ST CLAIR AVE WEST AT DUFFERIN ST WEST SIDE,LANSDOWNE STATION - WESTBOUND PLATFORM,0.018697000668552406
8590,ST CLAIR AVE WEST AT NORTHCLIFFE BLVD EAST SIDE,DUFFERIN STATION - WESTBOUND PLATFORM,0.01851847077919775
8591,ST CLAIR AVE WEST AT GLENHOLME AVE EAST SIDE,DUFFERIN STATION - WESTBOUND PLATFORM,0.01858924473989833
8592,ST CLAIR AVE WEST AT OAKWOOD AVE EAST SIDE,DUFFERIN STATION - EASTBOUND PLATFORM,0.018848971961359876
8593,ST CLAIR AVE WEST AT WINONA DR EAST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.01676636657120456
8594,ST CLAIR AVE WEST AT ARLINGTON AVE EAST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.013069021730789353
8595,ST CLAIR AVE WEST AT CHRISTIE ST EAST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.009862897343064815
8596,ST CLAIR AVE WEST AT WYCHWOOD AVE EAST SIDE,ST CLAIR WEST STATION,0.007584817730170173
8597,ST CLAIR AVE WEST AT WYCHWOOD AVE WEST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.008703657219811489
8598,ST CLAIR AVE WEST AT CHRISTIE ST WEST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.010980843774493463
8599,ST CLAIR AVE WEST AT ARLINGTON AVE WEST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.01415415264153602
8600,ST CLAIR AVE WEST AT WINONA DR WEST SIDE,ST CLAIR WEST STATION - NORTHBOUND PLATFORM,0.01785969800975928
8601,ST CLAIR AVE WEST AT OAKWOOD AVE,DUFFERIN STATION - EASTBOUND PLATFORM,0.018884376108307763
8602,ST CLAIR AVE WEST AT GLENHOLME AVE WEST SIDE,DUFFERIN STATION - WESTBOUND PLATFORM,0.018612486910674523
8603,ST CLAIR AVE WEST AT NORTHCLIFFE BLVD WEST SIDE,DUFFERIN STATION - WESTBOUND PLATFORM,0.01867974352072352
8604,ST CLAIR AVE WEST AT DUFFERIN ST WEST SIDE,LANSDOWNE AVE AT WADE AVE (LANSDOWNE STATION),0.01853795900308399
8605,ST CLAIR AVE WEST AT EARLSCOURT AVE,LANSDOWNE AVE AT WADE AVE (LANSDOWNE STATION),0.01818244213520344
8606,BLOOR ST WEST AT PRINCE EDWARD DR SOUTH,ROYAL YORK STATION - EASTBOUND PLATFORM,0.0030062661226170455
8607,FINCH STATION - SOUTHBOUND PLATFORM,FINCH STATION - SOUTHBOUND PLATFORM,0.0
8608,NORTH YORK CENTRE STATION - SOUTHBOUND PLATFORM,NORTH YORK CENTRE STATION - SOUTHBOUND PLATFORM,0.0
8609,SHEPPARD-YONGE STATION - SOUTHBOUND PLATFORM,SHEPPARD-YONGE STATION - SOUTHBOUND PLATFORM,0.0
8610,YORK MILLS STATION - SOUTHBOUND PLATFORM,YORK MILLS STATION - SOUTHBOUND PLATFORM,0.0
8611,LAWRENCE STATION - SOUTHBOUND PLATFORM,LAWRENCE STATION - SOUTHBOUND PLATFORM,0.0
8612,EGLINTON STATION - SOUTHBOUND PLATFORM,EGLINTON STATION - SOUTHBOUND PLATFORM,0.0
8613,DAVISVILLE STATION - SOUTHBOUND PLATFORM,DAVISVILLE STATION - SOUTHBOUND PLATFORM,0.0
8614,ST CLAIR STATION - SOUTHBOUND PLATFORM,ST CLAIR STATION - SOUTHBOUND PLATFORM,0.0
