year,month,Ridership
2021,Jan,10895000
2021,Feb,21792000
2021,Mar,37457000
2021,Apr,48495000
2021,May,59947000
2021,Jun,76546000
2021,Jul,92156000
2021,Aug,108863000
2021,Sep,132450000
2021,Oct,152901000
2021,Nov,174547000
2021,Dec,197841000
2022,Jan,14565000
2022,Feb,33502000
2022,Mar,61040000
2022,Apr,83430000
2022,May,108116000
2022,Jun,140345000
2022,Jul,
2022,Aug,
2022,Sep,
2022,Oct,
2022,Nov,
2022,Dec,
