Measure Name,Year,Period,Value
TTC Monthly Ridership,2014,Jul,39939000
TTC Monthly Ridership,2014,Aug,38795000
TTC Monthly Ridership,2014,Sep,53197000
TTC Monthly Ridership,2014,Oct,43581000
TTC Monthly Ridership,2014,Nov,45322000
TTC Monthly Ridership,2014,Dec,43596000
TTC Monthly Ridership,2015,Jan,45027000
TTC Monthly Ridership,2015,Feb,41682000
TTC Monthly Ridership,2015,Mar,50982000
TTC Monthly Ridership,2015,Apr,42045000
TTC Monthly Ridership,2015,May,41505000
TTC Monthly Ridership,2015,Jun,49881000
TTC Monthly Ridership,2015,Jul,39247000
TTC Monthly Ridership,2015,Aug,38275000
TTC Monthly Ridership,2015,Sep,52277000
TTC Monthly Ridership,2015,Oct,42918000
TTC Monthly Ridership,2015,Nov,44175000
TTC Monthly Ridership,2015,Dec,45991000
TTC Monthly Ridership,2016,Jan,43490000
TTC Monthly Ridership,2016,Feb,40371000
TTC Monthly Ridership,2016,Mar,50867000
TTC Monthly Ridership,2016,Apr,42816000
TTC Monthly Ridership,2016,May,41308000
TTC Monthly Ridership,2016,Jun,51285000
TTC Monthly Ridership,2016,Jul,41274000
TTC Monthly Ridership,2016,Aug,37974000
TTC Monthly Ridership,2016,Sep,52481000
TTC Monthly Ridership,2016,Oct,43064000
TTC Monthly Ridership,2016,Nov,44112000
TTC Monthly Ridership,2016,Dec,49037000
TTC Monthly Ridership,2017,Jan,39606000
TTC Monthly Ridership,2017,Feb,40966000
TTC Monthly Ridership,2017,Mar,51768000
TTC Monthly Ridership,2017,Apr,41978000
TTC Monthly Ridership,2017,May,40598000
TTC Monthly Ridership,2017,Jun,52528000
TTC Monthly Ridership,2017,Jul,40182000
TTC Monthly Ridership,2017,Aug,38144000
TTC Monthly Ridership,2017,Sep,52473000
TTC Monthly Ridership,2017,Oct,42279000
TTC Monthly Ridership,2017,Nov,43080000
TTC Monthly Ridership,2017,Dec,49614000
TTC Monthly Ridership,2018,Jan,47565000
TTC Monthly Ridership,2018,Feb,41112000
TTC Monthly Ridership,2018,Mar,50732000
TTC Monthly Ridership,2018,Apr,41302000
TTC Monthly Ridership,2018,May,39941000
TTC Monthly Ridership,2018,Jun,50966000
TTC Monthly Ridership,2018,Jul,39054000
TTC Monthly Ridership,2018,Aug,37217000
TTC Monthly Ridership,2018,Sep,41986000
TTC Monthly Ridership,2018,Oct,40934000
TTC Monthly Ridership,2018,Nov,52207000
TTC Monthly Ridership,2018,Dec,38388000
TTC Monthly Ridership,2019,Jan,45792000
TTC Monthly Ridership,2019,Feb,39421000
TTC Monthly Ridership,2019,Mar,51989000
TTC Monthly Ridership,2019,Apr,39413000
TTC Monthly Ridership,2019,May,39989000
TTC Monthly Ridership,2019,Jun,51209000
TTC Monthly Ridership,2019,Jul,39758000
TTC Monthly Ridership,2019,Aug,38453000
TTC Monthly Ridership,2019,Sep,53236000
TTC Monthly Ridership,2019,Oct,41624000
TTC Monthly Ridership,2019,Nov,43707000
TTC Monthly Ridership,2019,Dec,40879000
TTC Monthly Ridership,2020,Jan,44678000
TTC Monthly Ridership,2020,Feb,40326000
TTC Monthly Ridership,2020,Mar,26783000
TTC Monthly Ridership,2020,Apr,5037000
TTC Monthly Ridership,2020,May,6529000
TTC Monthly Ridership,2020,Jun,11237000
TTC Monthly Ridership,2020,Jul,13122000
TTC Monthly Ridership,2020,Aug,14622000
TTC Monthly Ridership,2020,Sep,19661000
TTC Monthly Ridership,2020,Oct,14750000
TTC Monthly Ridership,2020,Nov,14584000
TTC Monthly Ridership,2020,Dec,13671000
TTC Monthly Ridership,2021,Jan,10895000
TTC Monthly Ridership,2021,Feb,10897000
TTC Monthly Ridership,2021,Mar,15665000
TTC Monthly Ridership,2021,Apr,11038000
TTC Monthly Ridership,2021,May,11452000
TTC Monthly Ridership,2021,Jun,16599000
TTC Monthly Ridership,2021,Jul,15610000
TTC Monthly Ridership,2021,Aug,16707000
TTC Monthly Ridership,2021,Sep,23587000
TTC Monthly Ridership,2021,Oct,20451000
TTC Monthly Ridership,2021,Nov,21646000
TTC Monthly Ridership,2021,Dec,23294000
TTC Monthly Ridership,2022,Jan,14565000
TTC Monthly Ridership,2022,Feb,18937000
TTC Monthly Ridership,2022,Mar,27538000
TTC Monthly Ridership,2022,Apr,22390000
TTC Monthly Ridership,2022,May,24686000
TTC Monthly Ridership,2022,Jun,32229000
