route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
66592,1,352,LAWRENCE WEST NIGHT BUS,,3,,0000FF,FFFFFF
66593,1,353,STEELES NIGHT BUS,,3,,0000FF,FFFFFF
66594,1,354,LAWRENCE EAST NIGHT BUS,,3,,0000FF,FFFFFF
66595,1,36,FINCH WEST,,3,,FF0000,FFFFFF
66596,1,363,OSSINGTON NIGHT BUS,,3,,0000FF,FFFFFF
66597,1,365,PARLIAMENT NIGHT BUS,,3,,0000FF,FFFFFF
66598,1,37,ISLINGTON,,3,,FF0000,FFFFFF
66599,1,38,HIGHLAND CREEK,,3,,FF0000,FFFFFF
66600,1,384,SHEPPARD WEST NIGHT BUS,,3,,0000FF,FFFFFF
66601,1,385,SHEPPARD EAST NIGHT BUS,,3,,0000FF,FFFFFF
66602,1,39,FINCH EAST,,3,,FF0000,FFFFFF
66603,1,395,YORK MILLS NIGHT BUS,,3,,0000FF,FFFFFF
66604,1,396,WILSON NIGHT BUS,,3,,0000FF,FFFFFF
66715,1,4,LINE 4 (SHEPPARD),,1,,B300B3,FFFFFF
66605,1,40,JUNCTION-DUNDAS WEST,,3,,FF0000,FFFFFF
66606,1,400,LAWRENCE MANOR,,3,,808080,FFFFFF
66607,1,402,PARKDALE,,3,,808080,FFFFFF
66608,1,403,DON MILLS SOUTH,,3,,808080,FFFFFF
66609,1,404,EAST YORK,,3,,808080,FFFFFF
66610,1,405,ETOBICOKE,,3,,808080,FFFFFF
66611,1,41,KEELE,,3,,FF0000,FFFFFF
66612,1,42,CUMMER,,3,,FF0000,FFFFFF
66613,1,43,KENNEDY,,3,,FF0000,FFFFFF
66614,1,44,KIPLING SOUTH,,3,,FF0000,FFFFFF
66615,1,45,KIPLING,,3,,FF0000,FFFFFF
66616,1,46,MARTIN GROVE,,3,,FF0000,FFFFFF
66617,1,47,LANSDOWNE,,3,,FF0000,FFFFFF
66618,1,48,RATHBURN,,3,,FF0000,FFFFFF
66619,1,49,BLOOR WEST,,3,,FF0000,FFFFFF
66620,1,50,BURNHAMTHORPE,,3,,FF0000,FFFFFF
66621,1,501,QUEEN,,0,,FF0000,FFFFFF
66622,1,503,KINGSTON RD,,0,,FF0000,FFFFFF
66623,1,504,KING,,0,,FF0000,FFFFFF
66624,1,505,DUNDAS,,0,,FF0000,FFFFFF
66625,1,506,CARLTON,,0,,FF0000,FFFFFF
66626,1,509,HARBOURFRONT,,0,,FF0000,FFFFFF
66627,1,51,LESLIE,,3,,FF0000,FFFFFF
66628,1,510,SPADINA,,0,,FF0000,FFFFFF
66629,1,511,BATHURST,,0,,FF0000,FFFFFF
66630,1,512,ST. CLAIR,,0,,FF0000,FFFFFF
66631,1,52,LAWRENCE WEST,,3,,FF0000,FFFFFF
66632,1,53,STEELES EAST,,3,,FF0000,FFFFFF
66633,1,54,LAWRENCE EAST,,3,,FF0000,FFFFFF
66634,1,55,WARREN PARK,,3,,FF0000,FFFFFF
66635,1,56,LEASIDE,,3,,FF0000,FFFFFF
66636,1,57,MIDLAND,,3,,FF0000,FFFFFF
66637,1,59,MAPLE LEAF,,3,,FF0000,FFFFFF
66638,1,60,STEELES WEST,,3,,FF0000,FFFFFF
66640,1,61,AVENUE ROAD NORTH,,3,,FF0000,FFFFFF
66641,1,62,MORTIMER,,3,,FF0000,FFFFFF
66642,1,63,OSSINGTON,,3,,FF0000,FFFFFF
66643,1,64,MAIN,,3,,FF0000,FFFFFF
66644,1,65,PARLIAMENT,,3,,FF0000,FFFFFF
66645,1,66,PRINCE EDWARD,,3,,FF0000,FFFFFF
66646,1,67,PHARMACY,,3,,FF0000,FFFFFF
66647,1,68,WARDEN,,3,,FF0000,FFFFFF
66648,1,69,WARDEN SOUTH,,3,,FF0000,FFFFFF
66649,1,7,BATHURST,,3,,FF0000,FFFFFF
66650,1,70,O'CONNOR,,3,,FF0000,FFFFFF
66651,1,71,RUNNYMEDE,,3,,FF0000,FFFFFF
66652,1,72,PAPE,,3,,FF0000,FFFFFF
66653,1,73,ROYAL YORK,,3,,FF0000,FFFFFF
66654,1,74,MOUNT PLEASANT,,3,,FF0000,FFFFFF
66655,1,75,SHERBOURNE,,3,,FF0000,FFFFFF
66656,1,76,ROYAL YORK SOUTH,,3,,FF0000,FFFFFF
66657,1,77,SWANSEA,,3,,FF0000,FFFFFF
66658,1,78,ST. ANDREWS,,3,,FF0000,FFFFFF
66659,1,79,SCARLETT RD.,,3,,FF0000,FFFFFF
66660,1,8,BROADVIEW,,3,,FF0000,FFFFFF
66661,1,80,QUEENSWAY,,3,,FF0000,FFFFFF
66662,1,81,THORNCLIFFE PARK,,3,,FF0000,FFFFFF
66663,1,82,ROSEDALE,,3,,FF0000,FFFFFF
66664,1,83,JONES,,3,,FF0000,FFFFFF
66665,1,84,SHEPPARD WEST,,3,,FF0000,FFFFFF
66666,1,85,SHEPPARD EAST,,3,,FF0000,FFFFFF
66667,1,86,SCARBOROUGH,,3,,FF0000,FFFFFF
66668,1,87,COSBURN,,3,,FF0000,FFFFFF
66669,1,88,SOUTH LEASIDE,,3,,FF0000,FFFFFF
66670,1,89,WESTON,,3,,FF0000,FFFFFF
66671,1,9,BELLAMY,,3,,FF0000,FFFFFF
66672,1,90,VAUGHAN,,3,,FF0000,FFFFFF
66673,1,900,AIRPORT EXPRESS,,3,,008000,FFFFFF
66674,1,902,MARKHAM RD EXPRESS,,3,,008000,FFFFFF
66675,1,905,EGLINTON EAST EXPRESS,,3,,008000,FFFFFF
66676,1,91,WOODBINE,,3,,FF0000,FFFFFF
66677,1,913,PROGRESS EXPRESS,,3,,008000,FFFFFF
66678,1,92,WOODBINE SOUTH,,3,,FF0000,FFFFFF
66679,1,924,VICTORIA PARK EXPRESS,,3,,008000,FFFFFF
66680,1,925,DON MILLS EXPRESS,,3,,008000,FFFFFF
66681,1,927,HIGHWAY 27 EXPRESS,,3,,008000,FFFFFF
66682,1,929,DUFFERIN EXPRESS,,3,,008000,FFFFFF
66683,1,93,PARKVIEW HILLS,,3,,FF0000,FFFFFF
66684,1,935,JANE EXPRESS,,3,,008000,FFFFFF
66685,1,937,ISLINGTON EXPRESS,,3,,008000,FFFFFF
66686,1,939,FINCH EXPRESS,,3,,008000,FFFFFF
66687,1,94,WELLESLEY,,3,,FF0000,FFFFFF
66688,1,941,KEELE EXPRESS,,3,,008000,FFFFFF
66689,1,943,KENNEDY EXPRESS,,3,,008000,FFFFFF
66690,1,944,KIPLING SOUTH EXPRESS,,3,,008000,FFFFFF
66691,1,945,KIPLING EXPRESS,,3,,008000,FFFFFF
66692,1,95,YORK MILLS,,3,,FF0000,FFFFFF
66693,1,952,LAWRENCE WEST EXPRESS,,3,,008000,FFFFFF
66694,1,953,STEELES EAST EXPRESS,,3,,008000,FFFFFF
66695,1,954,LAWRENCE EAST EXPRESS,,3,,008000,FFFFFF
66696,1,96,WILSON,,3,,FF0000,FFFFFF
66697,1,960,STEELES WEST EXPRESS,,3,,008000,FFFFFF
66698,1,968,WARDEN EXPRESS,,3,,008000,FFFFFF
66699,1,97,YONGE,,3,,FF0000,FFFFFF
66700,1,98,WILLOWDALE-SENLAC,,3,,FF0000,FFFFFF
66701,1,984,SHEPPARD WEST EXPRESS,,3,,008000,FFFFFF
66702,1,985,SHEPPARD EAST EXPRESS,,3,,008000,FFFFFF
66703,1,986,SCARBOROUGH EXPRESS,,3,,008000,FFFFFF
66704,1,989,WESTON EXPRESS,,3,,008000,FFFFFF
66705,1,99,ARROW ROAD,,3,,FF0000,FFFFFF
66706,1,995,YORK MILLS EXPRESS,,3,,008000,FFFFFF
66707,1,996,WILSON EXPRESS,,3,,008000,FFFFFF
